GeneSymbol	GeneId	EvidenceCode	Comments	isNegative	ExternalDatabase	DatabaseLink	Phenotypes
CACNA1F	778	TAS	Night blindness, congenital stationary (incomplete), 2A, X-linked		OMIM	300071	congenital stationary night blindness
RHO	6010	TAS	Night blindness, congenital stationary, autosomal dominant 1		OMIM	610445	congenital stationary night blindness
CABP4	57010	TAS	Night blindness, congenital stationary (incomplete), 2B, autosomal recessive		OMIM	610427	congenital stationary night blindness
GNAT1	2779	TAS	Night blindness, congenital stationary, autosomal dominant 3		OMIM	610444	congenital stationary night blindness
CNTN1	1272	TAS	Myopathy, congenital, Compton-North		OMIM	612540	congenital structural myopathy
SEPN1	57190	TAS	Myopathy, congenital, with fiber-type disproportion		OMIM	255310	congenital structural myopathy
ACTA1	58	TAS	Myopathy, congenital, with fiber-type disproportion 1		OMIM	255310	congenital structural myopathy
TPM3	7170	TAS	Myopathy, congenital, with fiber-type disproportion		OMIM	255310	congenital structural myopathy
PLG	5340	TAS	Conjunctivitis, ligneous		OMIM	217090	conjunctivitis
UBIAD1	29914	TAS	Corneal dystrophy, crystalline, of Schnyder		OMIM	121800	corneal dystrophy
ZEB1	6935	TAS	Corneal dystrophy, posterior polymorphous, 3		OMIM	609141	corneal dystrophy
TGFBI	7045	TAS	Corneal dystrophy, Groenouw type I		OMIM	121900	corneal dystrophy
DCN	1634	TAS	Corneal dystrophy, congenital stromal		OMIM	610048	corneal dystrophy
TGFBI	7045	TAS	Corneal dystrophy, Reis-Bucklers type		OMIM	608470	corneal dystrophy
TGFBI	7045	TAS	Corneal dystrophy, lattice type I		OMIM	122200	corneal dystrophy
TACSTD2	4070	TAS	Corneal dystrophy, gelatinous drop-like		OMIM	204870	corneal dystrophy
TGFBI	7045	TAS	Corneal dystrophy, lattice type IIIA		OMIM	608471	corneal dystrophy
TGFBI	7045	TAS	Corneal dystrophy, Avellino type		OMIM	607541	corneal dystrophy
TGFBI	7045	TAS	Corneal dystrophy, Thiel-Behnke type		OMIM	602082	corneal dystrophy
TGFBI	7045	TAS	Corneal dystrophy, epithelial basement membrane		OMIM	121820	corneal dystrophy
COL8A2	1296	TAS	Corneal dystrophy polymorphous posterior, 2		OMIM	609140	corneal dystrophy
VSX1	30813	TAS	Corneal dystrophy, hereditary polymorphous posterior		OMIM	122000	corneal dystrophy
KRT3	3850	TAS	Meesmann corneal dystrophy		OMIM	122100	corneal dystrophy
KRT12	3859	TAS	Meesmann corneal dystrophy		OMIM	122100	corneal dystrophy
SMC3	9126	TAS	Cornelia de Lange syndrome 3		OMIM	610759	Cornelia de Lange syndrome
RAD21	5885	TAS	Cornelia de Lange syndrome 4		OMIM	614701	Cornelia de Lange syndrome
SMC1A	8243	TAS	Cornelia de Lange syndrome 2		OMIM	300590	Cornelia de Lange syndrome
HDAC8	55869	TAS	Cornelia de Lange syndrome 5		OMIM	300882	Cornelia de Lange syndrome
NIPBL	25836	TAS	Cornelia de Lange syndrome 1		OMIM	122470	Cornelia de Lange syndrome
CX3CR1	1524	TAS	{Coronary artery disease, resistance to}		OMIM	607339	Coronary artery disease
LRP6	4040	TAS	{Coronary artery disease, autosomal dominant, 2}		OMIM	610947	Coronary artery disease
MEF2A	4205	TAS	{Coronary artery disease, autosomal dominant, 1}		OMIM	608320	Coronary artery disease
MMP3	4314	TAS	{Coronary heart disease, susceptibility to, 6}		OMIM	614466	coronary heart disease
KALRN	8997	TAS	{Coronary heart disease, susceptibility to, 5}		OMIM	608901	coronary heart disease
CD36	948	TAS	{Coronary heart disease, susceptibility to, 7}		OMIM	610938	coronary heart disease
TSC1	7248	TAS	Focal cortical dysplasia, Taylor balloon cell type		OMIM	607341	Cortical dysplasia
TUBB3	10381	TAS	Cortical dysplasia, complex, with other brain malformations		OMIM	614039	Cortical dysplasia
HRAS	3265	TAS	Congenital myopathy with excess of muscle spindles; Costello syndrome		OMIM	218040	Costello syndrome
PTEN	5728	TAS	Cowden syndrome 1; Lhermitte-Duclos syndrome		OMIM	158350	Cowden disease
SOST	50964	TAS	Craniodiaphyseal dysplasia, autosomal dominant		OMIM	122860	craniodiaphyseal dysplasia
EFNB1	1947	TAS	Craniofrontonasal dysplasia		OMIM	304110	craniofrontonasal syndrome
ANKH	56172	TAS	Craniometaphyseal dysplasia		OMIM	123000	craniometaphyseal dysplasia
MSX2	4488	TAS	Craniosynostosis, type 2		OMIM	604757	craniosynostosis
CYP26B1	56603	TAS	Craniosynostosis with radiohumeral fusions and other skeletal and craniofacial anomalies		OMIM	614416	Craniosynostosis
TWIST1	7291	TAS	Craniosynostosis, type 1		OMIM	123100	craniosynostosis
IL11RA	3590	TAS	Craniosynostosis and dental anomalies		OMIM	614188	Craniosynostosis
SKI	6497	TAS	Shprintzen-Goldberg syndrome		OMIM	182212	craniosynostosis
HLA-DQB1	3119	TAS	{Creutzfeldt-Jakob disease, variant, resistance to}		OMIM	123400	Creutzfeldt-Jakob syndrome
PRNP	5621	TAS	Creutzfeldt-Jakob disease		OMIM	123400	Creutzfeldt-Jakob syndrome
CTNND2	1501	TAS	Mental retardation in cri-du-chat syndrome		OMIM	123450	Cri-Du-Chat syndrome
UGT1A1	54658	TAS	Crigler-Najjar syndrome, type I		OMIM	218800	Crigler-Najjar syndrome
UGT1A1	54658	TAS	Crigler-Najjar syndrome, type II		OMIM	606785	Crigler-Najjar syndrome
FGFR2	2263	TAS	Crouzon syndrome		OMIM	123500	Crouzon syndrome
RXFP2	122042	TAS	Cryptorchidism		OMIM	219050	cryptorchidism
INSL3	3640	TAS	Cryptorchidism		OMIM	219050	cryptorchidism
UROS	7390	TAS	Porphyria, congenital erythropoietic		OMIM	263700	cutaneous porphyria
ALDH18A1	5832	TAS	Cutis laxa, autosomal recessive, type IIIA		OMIM	219150	cutis laxa
LAMB1	3912	TAS	?Cutis laxa, marfanoid neonatal type		OMIM	614100	cutis laxa
EFEMP2	30008	TAS	Cutis laxa, autosomal recessive, type IB		OMIM	614437	cutis laxa
ELN	2006	TAS	Cutis laxa, AD		OMIM	123700	cutis laxa
FBLN5	10516	TAS	Cutis laxa, autosomal dominant 2		OMIM	614434	cutis laxa
LTBP4	8425	TAS	Cutis laxa, autosomal recessive, type IC		OMIM	613177	Cutis laxa
FBLN5	10516	TAS	Cutis laxa, autosomal recessive, type IA		OMIM	219100	cutis laxa
PYCR1	5831	TAS	Cutis laxa, autosomal recessive, type IIIB		OMIM	614438	cutis laxa
PYCR1	5831	TAS	Cutis laxa, autosomal recessive, type IIB		OMIM	612940	cutis laxa
ATP6V0A2	23545	TAS	Cutis laxa, autosomal recessive, type IIA		OMIM	219200	cutis laxa
HBG2	3048	TAS	Cyanosis, transient neonatal		OMIM	613977	Cyanosis
ELANE	1991	TAS	Neutropenia, cyclic		OMIM	162800	cyclic hematopoiesis
CTH	1491	TAS	Cystathioninuria		OMIM	219500	Cystathioninuria
CFTR	1080	TAS	Cystic fibrosis		OMIM	219700	cystic fibrosis
TGFB1	7040	TAS	{Cystic fibrosis lung disease, modifier of}		OMIM	219700	cystic fibrosis
BICC1	80114	TAS	{Renal dysplasia, cystic, susceptibility to}		OMIM	601331	Cystic renal dysplasia
CTNS	1497	TAS	Cystinosis, ocular nonnephropathic		OMIM	219750	cystinosis
CTNS	1497	TAS	Cystinosis, nephropathic		OMIM	219800	cystinosis
CTNS	1497	TAS	Cystinosis, late-onset juvenile or adolescent nephropathic		OMIM	219900	cystinosis
SLC7A9	11136	TAS	Cystinuria		OMIM	220100	cystinuria
SLC3A1	6519	TAS	Cystinuria		OMIM	220100	cystinuria
FASTKD2	22868	TAS	Mitochondrial complex IV deficiency		OMIM	220110	cytochrome-c oxidase deficiency disease
COX14	84987	TAS	Mitochondrial complex IV deficiency		OMIM	220110	cytochrome-c oxidase deficiency disease
COX6B1	1340	TAS	Cytochrome c oxidase deficiency		OMIM	220110	cytochrome-c oxidase deficiency disease
COA5	493753	TAS	Mitochondrial complex IV deficiency		OMIM	220110	cytochrome-c oxidase deficiency disease
IDH2	3418	TAS	D-2-hydrosyglutaric aciduria 2		OMIM	613657	D-2-hydroxyglutaric aciduria
D2HGDH	728294	TAS	D-2-hydroxyglutaric aciduria		OMIM	600721	D-2-hydroxyglutaric aciduria
LAMP2	3920	TAS	Danon disease		OMIM	300257	Danon disease
MTR	4548	TAS	Methylcobalamin deficiency, cblG type		OMIM	250940	Decreased methylcobalamin
ITM2B	9445	TAS	Dementia, familial British		OMIM	176500	dementia
CHMP2B	25978	TAS	Dementia, familial, nonspecific		OMIM	600795	dementia
ITM2B	9445	TAS	Dementia, familial Danish		OMIM	117300	dementia
TRPM7	54822	TAS	{Amyotrophic lateral sclerosis-parkinsonism/dementia complex, susceptibility to}		OMIM	105500	dementia;amyotrophic lateral sclerosis
CD209	30835	TAS	{Dengue fever, protection against}		OMIM	614371	dengue disease
ATN1	1822	TAS	Dentatorubro-pallidoluysian atrophy		OMIM	125370	dentatorubral-pallidoluysian atrophy
SMOC2	64094	TAS	Dentin dysplasia, type I, with microdontia and misshapen teeth		OMIM	125400	dentin dysplasia
DSPP	1834	TAS	Dentin dysplasia, type II		OMIM	125420	dentin dysplasia
DSPP	1834	TAS	Dentinogenesis imperfecta, Shields type II		OMIM	125490	dentinogenesis imperfecta
DSPP	1834	TAS	Dentinogenesis imperfecta, Shields type III		OMIM	125500	dentinogenesis imperfecta
WT1	7490	TAS	Denys-Drash syndrome		OMIM	194080	Denys-Drash syndrome
FLG	2312	TAS	{Dermatitis, atopic, susceptibility to, 2}		OMIM	605803	dermatitis
AQP2	359	TAS	Diabetes insipidus, nephrogenic		OMIM	125800	diabetes insipidus
IL2RA	3559	TAS	{Diabetes, mellitus, insulin-dependent, susceptibility to, 10}		OMIM	601942	diabetes mellitus
CTLA4	1493	TAS	{Diabetes mellitus, insulin-dependent, susceptibility to}		OMIM	601388	diabetes mellitus
ABCC8	6833	TAS	Diabetes mellitus, transient neonatal 2		OMIM	610374	diabetes mellitus
CAPN10	11132	TAS	{Diabetes mellitus, noninsulin-dependent 1}		OMIM	601283	diabetes mellitus
KCNJ11	3767	TAS	Diabetes mellitus, transient neonatal, 3		OMIM	610582	diabetes mellitus
PLAGL1	5325	TAS	{Diabetes mellitus, transient neonatal}		OMIM	601410	diabetes mellitus
ZFP57	346171	TAS	Diabetes mellitus, transient neonatal, 1		OMIM	601410	diabetes mellitus
CCR5	1234	TAS	{Diabetes mellitus, insulin-dependent, 22}		OMIM	612522	diabetes mellitus
HNF1A	6927	TAS	Diabetes mellitus, insulin-dependent, 20		OMIM	612520	diabetes mellitus
INS	3630	TAS	Diabetes mellitus, insulin-dependent, 2; Diabetes mellitus, type 1		OMIM	125852	diabetes mellitus
SUMO4	387082	TAS	{Diabetes mellitus, insulin-dependent, 5}		OMIM	600320	diabetes mellitus
GCK	2645	TAS	Diabetes mellitus, permanent neonatal		OMIM	606176	diabetes mellitus
INS	3630	TAS	Diabetes mellitus, permanent neonatal		OMIM	606176	diabetes mellitus
ABCC8	6833	TAS	Diabetes mellitus, permanent neonatal		OMIM	606176	diabetes mellitus
KCNJ11	3767	TAS	Diabetes mellitus, permanent neonatal, with neurologic features; Diabetes, permanent neonatal		OMIM	606176	diabetes mellitus
INSR	3643	TAS	Diabetes mellitus, insulin-resistant, with acanthosis nigricans		OMIM	610549	diabetes mellitus;acanthosis nigricans
GLIS3	169792	TAS	Diabetes mellitus, neonatal, with congenital hypothyroidism		OMIM	610199	diabetes mellitus;congenital hypothyroidism
PAX4	5078	TAS	Diabetes mellitus, ketosis-prone		OMIM	612227	diabetic ketoacidosis
RPL26	6154	TAS	Diamond-Blackfan anemia 11		OMIM	614900	Diamond-Blackfan anemia
RPS19	6223	TAS	Diamond-Blackfan anemia 1		OMIM	105650	Diamond-Blackfan anemia
RPL5	6125	TAS	Diamond-Blackfan anemia 6		OMIM	612561	Diamond-Blackfan anemia
RPL11	6135	TAS	Diamond-Blackfan anemia 7		OMIM	612562	Diamond-Blackfan anemia
RPS17	6218	TAS	Diamond-Blackfan anemia 4		OMIM	612527	Diamond-Blackfan anemia
RPS26	6231	TAS	Diamond-Blackfan anemia 10		OMIM	613309	Diamond-Blackfan anemia
RPS24	6229	TAS	Diamond-blackfan anemia 3		OMIM	610629	Diamond-Blackfan anemia
RPS7	6201	TAS	Diamond-Blackfan anemia 8		OMIM	612563	Diamond-Blackfan anemia
RPL35A	6165	TAS	Diamond-Blackfan anemia 5		OMIM	612528	Diamond-Blackfan anemia
RPS10	6204	TAS	Diamond-Blackfan anemia 9		OMIM	613308	Diamond-Blackfan anemia
NEUROG3	50674	TAS	Diarrhea 4, malabsorptive, congenital		OMIM	610370	diarrhea
GUCY2C	2984	TAS	Diarrhea 6		OMIM	614616	diarrhea
SPINT2	10653	TAS	Diarrhea 3, secretory sodium, congenital, syndromic		OMIM	270420	diarrhea
SLC26A2	1836	TAS	Diastrophic dysplasia; Diastrophic dysplasia, broad bone-platyspondylic variant		OMIM	222600	diastrophic dysplasia
TBX1	6899	TAS	DiGeorge syndrome		OMIM	188400	DiGeorge syndrome
DPYD	1806	TAS	5-fluorouracil toxicity; Dihydropyrimidine dehydrogenase deficiency		OMIM	274270	dihydropyrimidine dehydrogenase deficiency
TNNI3	7137	TAS	Cardiomyopathy, dilated, 2A		OMIM	611880	dilated cardiomyopathy
CSRP3	8048	TAS	Cardiomyopathy, dilated, 1M		OMIM	607482	dilated cardiomyopathy
TPM1	7168	TAS	Cardiomyopathy, dilated, 1Y		OMIM	611878	dilated cardiomyopathy
TTN	7273	TAS	Cardiomyopathy, dilated, 1G		OMIM	604145	dilated cardiomyopathy
TCAP	8557	TAS	Cardiomyopathy, dilated, 1N		OMIM	607487	dilated cardiomyopathy
MYBPC3	4607	TAS	?Cardiomyopathy, dilated		OMIM	115200	dilated cardiomyopathy
LMNA	4000	TAS	Cardiomyopathy, dilated, 1A		OMIM	115200	dilated cardiomyopathy
RBM20	282996	TAS	Cardiomyopathy, dilated, 1DD		OMIM	613172	dilated cardiomyopathy
ACTC1	70	TAS	Cardiomyopathy, dilated, 1R; Left ventricular noncompaction 4		OMIM	613424	dilated cardiomyopathy
ABCC9	10060	TAS	Cardiomyopathy, dilated, 1O		OMIM	608569	dilated cardiomyopathy
LDB3	11155	TAS	Cardiomyopathy, dilated 1C; Left ventricular noncompaction 3, with or without dilated cardiomyopathy		OMIM	601493	dilated cardiomyopathy
ACTN2	88	TAS	Cardiomyopathy, dilated, 1AA		OMIM	612158	dilated cardiomyopathy
PLN	5350	TAS	Cardiomyopathy, dilated, 1P		OMIM	609909	dilated cardiomyopathy
NEXN	91624	TAS	Cardiomyopathy, dilated, 1CC		OMIM	613122	dilated cardiomyopathy
TNNC1	7134	TAS	Cardiomyopathy, dilated, 1Z		OMIM	611879	dilated cardiomyopathy
EYA4	2070	TAS	Cardiomyopathy, dilated, 1J		OMIM	605362	dilated cardiomyopathy
MYH6	4624	TAS	Cardiomyopathy, dilated, 1EE		OMIM	613252	dilated cardiomyopathy
SDHA	6389	TAS	Cardiomyopathy, dilated, 1GG		OMIM	613642	dilated cardiomyopathy
DSP	1832	TAS	Dilated cardiomyopathy with woolly hair and keratoderma		OMIM	605676	Dilated cardiomyopathy
SCN5A	6331	TAS	Cardiomyopathy, dilated, 1E		OMIM	601154	dilated cardiomyopathy
SGCD	6444	TAS	Cardiomyopathy, dilated, 1L		OMIM	606685	dilated cardiomyopathy
MYH7	4625	TAS	Cardiomyopathy, dilated, 1S; Left ventricular noncompaction 5		OMIM	613426	dilated cardiomyopathy
TNNI3	7137	TAS	Cardiomyopathy, dilated, 1FF		OMIM	613286	dilated cardiomyopathy
DMD	1756	TAS	Cardiomyopathy, dilated, 3B		OMIM	302045	dilated cardiomyopathy
DES	1674	TAS	Cardiomyopathy, dilated, 1I		OMIM	604765	dilated cardiomyopathy
DSG2	1829	TAS	Cardiomyopathy, dilated, 1BB		OMIM	612877	dilated cardiomyopathy
PSEN2	5664	TAS	Cardiomyopathy, dilated, 1V		OMIM	613697	dilated cardiomyopathy
TNNT2	7139	TAS	Cardiomyopathy, dilated, 1D; Left ventricular noncompaction 6		OMIM	601494	dilated cardiomyopathy
VCL	7414	TAS	Cardiomyopathy, dilated, 1W		OMIM	611407	dilated cardiomyopathy
MYH3	4621	TAS	Arthrogryposis, distal, type 2A		OMIM	193700	distal arthrogryposis
TPM2	7169	TAS	Arthrogryposis, distal, type 2B		OMIM	601680	distal arthrogryposis
TNNT3	7140	TAS	Arthyrgryposis, distal, type 2B		OMIM	601680	distal arthrogryposis
TNNI2	7136	TAS	Arthrogryposis multiplex congenita, distal, type 2B		OMIM	601680	distal arthrogryposis
MYH3	4621	TAS	Arthrogryposis, distal, type 2B		OMIM	601680	distal arthrogryposis
TPM2	7169	TAS	Arthrogryposis multiplex congenita, distal, type 1		OMIM	108120	distal arthrogryposis
HSPB1	3315	TAS	Neuropathy, distal hereditary motor, type IIB		OMIM	608634	distal hereditary motor neuropathy
HSPB8	26353	TAS	Neuropathy, distal hereditary motor, type IIA		OMIM	158590	distal hereditary motor neuropathy
HSPB3	8988	TAS	Neuronopathy, distal hereditary motor, type IIC		OMIM	613376	distal hereditary motor neuropathy
BSCL2	26580	TAS	Neuropathy, distal hereditary motor, type V		OMIM	600794	distal hereditary motor neuropathy
GARS	2617	TAS	Neuropathy, distal hereditary motor, type V		OMIM	600794	distal hereditary motor neuropathy
DCTN1	1639	TAS	Neuropathy, distal hereditary motor, type VIIB		OMIM	607641	distal hereditary motor neuropathy
DYSF	8291	TAS	Miyoshi muscular dystrophy 1		OMIM	254130	distal muscular dystrophy
ANO5	203859	TAS	Miyoshi muscular dystrophy 3		OMIM	613319	distal muscular dystrophy
DYSF	8291	TAS	Myopathy, distal, with anterior tibial onset		OMIM	606768	distal muscular dystrophy
LIG4	3981	TAS	LIG4 syndrome		OMIM	606593	DNA ligase IV deficiency
INSR	3643	TAS	Leprechaunism		OMIM	246200	Donohue Syndrome
TBX1	6899	TAS	Conotruncal anomaly face syndrome		OMIM	217095	double outlet right ventricle
CFC1	55997	TAS	Double-outlet right ventricle		OMIM	217095	double outlet right ventricle
GDF1	2657	TAS	Double-outlet right ventricle		OMIM	217095	double outlet right ventricle
NKX2-5	1482	TAS	Conotruncal heart malformations, variable		OMIM	217095	double outlet right ventricle
GATA6	2627	TAS	Persistent truncus arteriosus		OMIM	217095	double outlet right ventricle
NKX2-6	137814	TAS	Persistent truncus arteriosus		OMIM	217095	double outlet right ventricle
GATA1	2623	TAS	Leukemia, megakaryoblastic, with or without Down syndrome, somatic		OMIM	190685	Down syndrome
SCN9A	6335	TAS	{Dravet syndrome, modifier of}		OMIM	607208	Dravet Syndrome;infantile epileptic encephalopathy
SCN1A	6323	TAS	Dravet syndrome		OMIM	607208	Dravet Syndrome;infantile epileptic encephalopathy
CHN1	1123	TAS	Duane retraction syndrome 2		OMIM	604356	Duane retraction syndrome
ABCC2	1244	TAS	Dubin-Johnson syndrome		OMIM	237500	Dubin-Johnson syndrome
DMD	1756	TAS	Duchenne muscular dystrophy		OMIM	310200	Duchenne muscular dystrophy
NOP10	55505	TAS	Dyskeratosis congenita, autosomal recessive 1		OMIM	224230	dyskeratosis congenita
TINF2	26277	TAS	Dyskeratosis congenita, autosomal dominant 3		OMIM	613990	dyskeratosis congenita
DKC1	1736	TAS	Dyskeratosis congenita, X-linked		OMIM	305000	dyskeratosis congenita
WRAP53	55135	TAS	Dyskeratosis congenita, autosomal recessive 3		OMIM	613988	dyskeratosis congenita
TERT	7015	TAS	Dyskeratosis congenita, autosomal dominant 2; Dyskeratosis congenita, autosomal recessive 4		OMIM	613989	dyskeratosis congenita
NHP2	55651	TAS	Dyskeratosis congenita, autosomal recessive 2		OMIM	613987	dyskeratosis congenita
TERC	7012	TAS	Dyskeratosis congenita, autosomal dominant 1		OMIM	127550	dyskeratosis congenita
DYX1C1	161582	TAS	{Dyslexia, susceptibility to, 1}		OMIM	127700	dyslexia
KIAA0319	9856	TAS	{Dyslexia, susceptibility to, 2}		OMIM	600202	dyslexia
CDKN2A	1029	TAS	{Melanoma, cutaneous malignant, 2}		OMIM	155601	dysplastic nevus syndrome
PTEN	5728	TAS	Malignant melanoma, somatic		OMIM	155600	dysplastic nevus syndrome;skin melanoma
THAP1	55145	TAS	Dystonia 6, torsion		OMIM	602629	dystonia
DRD2	1813	TAS	Dystonia, myoclonic		OMIM	159900	dystonia
SGCE	8910	TAS	Dystonia-11, myoclonic		OMIM	159900	dystonia
PRKRA	8575	TAS	Dystonia 16		OMIM	612067	dystonia
GCH1	2643	TAS	Dystonia, DOPA-responsive, with or without hyperphenylalaninemia		OMIM	128230	dystonia
SPR	6697	TAS	Dystonia, dopa-responsive, due to sepiapterin reductase deficiency		OMIM	612716	dystonia
SLC2A1	6513	TAS	Dystonia 9		OMIM	601042	dystonia
ACTB	60	TAS	Dystonia, juvenile-onset		OMIM	607371	dystonia
ANO3	63982	TAS	Dystonia 24		OMIM	615034	dystonia
TBC1D24	57465	TAS	Myoclonic epilepsy, infantile, familial		OMIM	605021	early myoclonic encephalopathy
CDH3	1001	TAS	Ectodermal dysplasia, ectrodactyly, and macular dystrophy		OMIM	225280	ectodermal dysplasia
TP63	8626	TAS	Ectrodactyly, ectodermal dysplasia, and cleft lip/palate syndrome 3		OMIM	604292	Ectodermal dysplasia
EDARADD	128178	TAS	Ectodermal dysplasia 11B, hypohidrotic/hair/tooth type, autosomal recessive		OMIM	614941	Ectodermal dysplasia
EDARADD	128178	TAS	Ectodermal dysplasia 11A, hypohidrotic/hair/tooth type		OMIM	614940	Ectodermal dysplasia
PKP1	5317	TAS	Ectodermal dysplasia/skin fragility syndrome		OMIM	604536	ectodermal dysplasia
KRT85	3891	TAS	Ectodermal dysplasia 4, hair/nail type		OMIM	602032	ectodermal dysplasia
HOXC13	3229	TAS	Ectodermal dysplasia 9, hair/nail type		OMIM	614931	Ectodermal dysplasia
FBN1	2200	TAS	Ectopia lentis, familial		OMIM	129600	Ectopia lentis
ADAMTSL4	54507	TAS	Ectopia lentis, isolated, autosomal recessive		OMIM	225100	Ectopia lentis
COL5A1	1289	TAS	Ehlers-Danlos syndrome, type II		OMIM	130010	Ehlers-Danlos syndrome
TNXB	7148	TAS	Ehlers-Danlos syndrome, autosomal recessive, due to tenascin X deficiency		OMIM	606408	Ehlers-Danlos syndrome
COL1A1	1277	TAS	Ehlers-Danlos syndrome, type VIIA		OMIM	130060	Ehlers-Danlos syndrome
COL1A2	1278	TAS	Ehlers-Danlos syndrome, type VIIB		OMIM	130060	Ehlers-Danlos syndrome
COL1A2	1278	TAS	Ehlers-Danlos syndrome, cardiac valvular form		OMIM	225320	Ehlers-Danlos syndrome
B4GALT7	11285	TAS	Ehlers-Danlos syndrome, progeroid form		OMIM	130070	Ehlers-Danlos syndrome
ADAMTS2	9509	TAS	Ehlers-Danlos syndrome, type VIIC		OMIM	225410	Ehlers-Danlos syndrome
CHST14	113189	TAS	Ehlers-Danlos syndrome, musculocontractural type 		OMIM	601776	Ehlers-Danlos syndrome
PLOD1	5351	TAS	Ehlers-Danlos syndrome, type VI		OMIM	225400	Ehlers-Danlos syndrome;type VI Ehlers-Danlos syndrome
EVC	2121	TAS	Ellis-van Creveld syndrome		OMIM	225500	Ellis-Van Creveld syndrome
EVC2	132884	TAS	Ellis-van Creveld syndrome		OMIM	225500	Ellis-Van Creveld syndrome
LMNA	4000	TAS	Emery-Dreifuss muscular dystrophy 2, AD; Emery-Dreifuss muscular dystrophy 3, AR		OMIM	181350	Emery-Dreifuss muscular dystrophy
SYNE1	23345	TAS	Emery-Dreifuss muscular dystrophy 4, autosomal dominant		OMIM	612998	Emery-Dreifuss muscular dystrophy
EMD	2010	TAS	Emery-Dreifuss muscular dystrophy 1, X-linked		OMIM	310300	Emery-Dreifuss muscular dystrophy
FHL1	2273	TAS	Emery-Dreifuss muscular dystrophy 6, X-linked; Myopathy, X-linked, with postural muscle atrophy		OMIM	300696	Emery-Dreifuss muscular dystrophy
SYNE2	23224	TAS	Emery-Dreifuss muscular dystrophy 5, autosomal dominant		OMIM	612999	Emery-Dreifuss muscular dystrophy
TICAM1	148022	TAS	{Encephalopathy, acute, infection-induced, susceptibility to, 6}		OMIM	614850	Encephalopathy
MECP2	4204	TAS	Encephalopathy, neonatal severe		OMIM	300673	Encephalopathy
RANBP2	5903	TAS	{Encephalopathy, acute, infection-induced, 3, susceptibility to}		OMIM	608033	Encephalopathy
CPT2	1376	TAS	{Encephalopathy, acute, infection-induced, 4, susceptibility to}		OMIM	614212	Encephalopathy
SERPINI1	5274	TAS	Encephalopathy, familial, with neuroserpin inclusion bodies		OMIM	604218	Encephalopathy
TPH2	121278	TAS	{Unipolar depression, susceptibility to}		OMIM	608516	endogenous depression
HTR2A	3356	TAS	{Major depressive disorder, response to citalopram therapy in}; {Seasonal affective disorder, susceptibility to}		OMIM	608516	endogenous depression
FKBP5	2289	TAS	{Major depressive disorder and accelerated response to antidepressant drug treatment}		OMIM	608516	endogenous depression
PTEN	5728	TAS	Endometrial carcinoma, somatic		OMIM	608089	endometrial carcinoma
MSH6	2956	TAS	Endometrial cancer, familial		OMIM	608089	endometrial carcinoma
CDH1	999	TAS	Endometrial carcinoma, somatic		OMIM	608089	endometrial carcinoma
MLH3	27030	TAS	Endometrial cancer		OMIM	608089	endometrial carcinoma
KCNJ10	3766	TAS	Enlarged vestibular aqueduct, digenic		OMIM	600791	enlarged vestibular aqueduct
SLC26A4	5172	TAS	Deafness, autosomal recessive 4, with enlarged vestibular aqueduct		OMIM	600791	enlarged vestibular aqueduct
FOXI1	2299	TAS	Enlarged vestibular aqueduct		OMIM	600791	enlarged vestibular aqueduct
TMC8	147138	TAS	Epidermodysplasia verruciformis		OMIM	226400	epidermodysplasia verruciformis
TMC6	11322	TAS	Epidermodysplasia verruciformis		OMIM	226400	epidermodysplasia verruciformis
LAMA3	3909	TAS	Epidermolysis bullosa, junctional, Herlitz type		OMIM	226700	epidermolysis bullosa
LAMC2	3918	TAS	Epidermolysis bullosa, junctional, Herlitz type		OMIM	226700	epidermolysis bullosa
LAMB3	3914	TAS	Epidermolysis bullosa, junctional, Herlitz type		OMIM	226700	epidermolysis bullosa
COL7A1	1294	TAS	Epidermolysis bullosa, pretibial		OMIM	131850	epidermolysis bullosa
LAMA3	3909	TAS	Epidermolysis bullosa, generalized atrophic benign		OMIM	226650	epidermolysis bullosa
COL17A1	1308	TAS	Epidermolysis bullosa, junctional, non-Herlitz type		OMIM	226650	epidermolysis bullosa
ITGB4	3691	TAS	Epidermolysis bullosa, junctional, non-Herlitz type		OMIM	226650	epidermolysis bullosa
LAMC2	3918	TAS	Epidermolysis bullosa, junctional, non-Herlitz type		OMIM	226650	epidermolysis bullosa
LAMB3	3914	TAS	Epidermolysis bullosa, junctional, non-Herlitz type		OMIM	226650	epidermolysis bullosa
DSP	1832	TAS	Epidermolysis bullosa, lethal acantholytic		OMIM	609638	epidermolysis bullosa
COL7A1	1294	TAS	Epidermolysis bullosa pruriginosa		OMIM	604129	epidermolysis bullosa
ITGA6	3655	TAS	Epidermolysis bullosa, junctional, with pyloric stenosis		OMIM	226730	epidermolysis bullosa
ITGB4	3691	TAS	Epidermolysis bullosa, junctional, with pyloric atresia		OMIM	226730	epidermolysis bullosa
COL7A1	1294	TAS	Epidermolysis bullosa dystrophica, AD		OMIM	131750	epidermolysis bullosa dystrophica
MMP1	4312	TAS	{Epidermolysis bullosa dystrophica, autosomal recessive, modifier of}		OMIM	226600	epidermolysis bullosa dystrophica
COL7A1	1294	TAS	EBD inversa; Epidermolysis bullosa dystrophica, AR		OMIM	226600	epidermolysis bullosa dystrophica
