# Plain text terms we recognize when loading GEO data, and we map them immediately to an Ontology term
# the fields are 1. string to be matched; 2. The value 3. ValueUri 4. Category 5. CategoryUri
# Case of the string value is ignored; the category is checked against the type of variable imported, so if it doesn't match what we have here,
# it won't be mapped.
# String value	value	valueUri	category	categoryUri
CA1 Hippocampus	CA1 field of hippocampus	http://purl.obolibrary.org/obo/UBERON_0003881	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
CA3	CA3 field of hippocampus	http://purl.obolibrary.org/obo/UBERON_0003883	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Caffeine	caffeine	http://purl.obolibrary.org/obo/CHEBI_27732	treatment	http://www.ebi.ac.uk/efo/EFO_0000727
Calu-3	Calu-3 cell	http://purl.obolibrary.org/obo/CLO_0002192	cell line	http://purl.obolibrary.org/obo/CLO_0000031
cancer	cancer	http://purl.obolibrary.org/obo/MONDO_0004992	disease	http://www.ebi.ac.uk/efo/EFO_0000408
cancer cell line	cancer cell line	http://www.ebi.ac.uk/efo/EFO_0001639	cell line	http://purl.obolibrary.org/obo/CLO_0000031
cancer tumor	cancer	http://purl.obolibrary.org/obo/MONDO_0004992	disease	http://www.ebi.ac.uk/efo/EFO_0000408
Canton S	Canton-S	http://www.ebi.ac.uk/efo/EFO_0001325	strain	http://www.ebi.ac.uk/efo/EFO_0005135
Capillary blood	capillary blood	http://purl.obolibrary.org/obo/UBERON_0013757	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Carcinoma	carcinoma	http://purl.obolibrary.org/obo/MONDO_0004993	disease	http://www.ebi.ac.uk/efo/EFO_0000408
CAU	European	http://purl.obolibrary.org/obo/HANCESTRO_0005	population	http://purl.obolibrary.org/obo/OBI_0000181
CAUC	European	http://purl.obolibrary.org/obo/HANCESTRO_0005	population	http://purl.obolibrary.org/obo/OBI_0000181
caucasian	European	http://purl.obolibrary.org/obo/HANCESTRO_0005	population	http://purl.obolibrary.org/obo/OBI_0000181
Caucasian origin	European	http://purl.obolibrary.org/obo/HANCESTRO_0005	population	http://purl.obolibrary.org/obo/OBI_0000181
caudate	caudate nucleus	http://purl.obolibrary.org/obo/UBERON_0001873	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Caudate Nucleus	caudate nucleus	http://purl.obolibrary.org/obo/UBERON_0001873	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
CBA/CaJ	CBA/CaJ	http://www.ebi.ac.uk/efo/EFO_0001336	strain	http://www.ebi.ac.uk/efo/EFO_0005135
CBA/J	CBA/J	http://www.ebi.ac.uk/efo/EFO_0007735	strain	http://www.ebi.ac.uk/efo/EFO_0005135
ccRCC tumour tissue	clear cell renal carcinoma	http://purl.obolibrary.org/obo/MONDO_0005005	disease	http://www.ebi.ac.uk/efo/EFO_0000408
CD-1	CD1 mus strain	http://www.ebi.ac.uk/efo/EFO_0005180	strain	http://www.ebi.ac.uk/efo/EFO_0005135
CD-1 mouse	CD1 mus strain	http://www.ebi.ac.uk/efo/EFO_0005180	strain	http://www.ebi.ac.uk/efo/EFO_0005135
CD1	CD1 mus strain	http://www.ebi.ac.uk/efo/EFO_0005180	strain	http://www.ebi.ac.uk/efo/EFO_0005135
CD34+ mononuclear	mononuclear leukocyte	http://purl.obolibrary.org/obo/CL_0000842	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
CD4 T cells	CD4-positive, alpha-beta T cell	http://purl.obolibrary.org/obo/CL_0000624	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
CD4 T-cell	CD4-positive, alpha-beta T cell	http://purl.obolibrary.org/obo/CL_0000624	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
CD4+ lymphocyte	CD4-positive, alpha-beta T cell	http://purl.obolibrary.org/obo/CL_0000624	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
CD4+ T cell	CD4-positive, alpha-beta T cell	http://purl.obolibrary.org/obo/CL_0000624	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
CD4+ T cells	CD4-positive, alpha-beta T cell	http://purl.obolibrary.org/obo/CL_0000624	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
CD4+ T-cells	CD4-positive, alpha-beta T cell	http://purl.obolibrary.org/obo/CL_0000624	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
CD4+ Tcells	CD4-positive, alpha-beta T cell	http://purl.obolibrary.org/obo/CL_0000624	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
CD8 T cells	CD4-positive, alpha-beta T cell	http://purl.obolibrary.org/obo/CL_0000624	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
CD8 T-cell	CD8-positive, alpha-beta T cell	http://purl.obolibrary.org/obo/CL_0000625	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
CD8+ T cells	CD8-positive, alpha-beta T cell	http://purl.obolibrary.org/obo/CL_0000625	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
CDF Fisher 344	Fischer 344	http://www.ebi.ac.uk/efo/EFO_0000176	strain	http://www.ebi.ac.uk/efo/EFO_0005135
Cecum	caecum	http://purl.obolibrary.org/obo/UBERON_0001153	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Celiac Disease	celiac disease	http://purl.obolibrary.org/obo/MONDO_0005130	disease	http://www.ebi.ac.uk/efo/EFO_0000408
cell culture	cell culture	http://purl.obolibrary.org/obo/OBI_0001876	collection of material	http://www.ebi.ac.uk/efo/EFO_0005066
central amygdala	central amygdaloid nucleus	http://purl.obolibrary.org/obo/UBERON_0002883	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Central Nucleus of Amygdala	central amygdaloid nucleus	http://purl.obolibrary.org/obo/UBERON_0002883	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
central nucleus of the amygdala	central amygdaloid nucleus	http://purl.obolibrary.org/obo/UBERON_0002883	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Cerebella	cerebellum	http://purl.obolibrary.org/obo/UBERON_0002037	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
cerebellar cortex	cerebellar cortex	http://purl.obolibrary.org/obo/UBERON_0002129	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Cerebellar Purkinje Cells	Purkinje cell	http://purl.obolibrary.org/obo/CL_0000121	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
cerebellum	cerebellum	http://purl.obolibrary.org/obo/UBERON_0002037	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
cerebrum	cerebral hemisphere	http://purl.obolibrary.org/obo/UBERON_0001869	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Cervical cancer	cervical cancer	http://purl.obolibrary.org/obo/MONDO_0002974	disease	http://www.ebi.ac.uk/efo/EFO_0000408
cervical spinal cord	cervical spinal cord	http://purl.obolibrary.org/obo/UBERON_0002726	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Cervical tumor	cervical cancer	http://purl.obolibrary.org/obo/MONDO_0002974	disease	http://www.ebi.ac.uk/efo/EFO_0000408
cervix	uterine cervix	http://purl.obolibrary.org/obo/UBERON_0000002	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Chinese	Chinese	http://purl.obolibrary.org/obo/HANCESTRO_0021	population	http://purl.obolibrary.org/obo/OBI_0000181
Chinese patient	Chinese	http://purl.obolibrary.org/obo/HANCESTRO_0021	population	http://purl.obolibrary.org/obo/OBI_0000181
Chloroprene	chloroprene	http://purl.obolibrary.org/obo/CHEBI_39481	treatment	http://www.ebi.ac.uk/efo/EFO_0000727
cholangiocarcinoma	cholangiocarcinoma	http://purl.obolibrary.org/obo/MONDO_0019087	disease	http://www.ebi.ac.uk/efo/EFO_0000408
Choroid Plexus	choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
chow	reference substance role	http://purl.obolibrary.org/obo/OBI_0000025	diet	http://www.ebi.ac.uk/efo/EFO_0002755
Chow diet	reference substance role	http://purl.obolibrary.org/obo/OBI_0000025	diet	http://www.ebi.ac.uk/efo/EFO_0002755
CHP	cumene hydroperoxide	http://purl.obolibrary.org/obo/CHEBI_78673	treatment	http://www.ebi.ac.uk/efo/EFO_0000727
chromosome 11 trisomy	chromosome 11q trisomy	http://purl.obolibrary.org/obo/MONDO_0022173	disease	http://www.ebi.ac.uk/efo/EFO_0000408
chromosome 19 trisomy	distal trisomy 19q	http://purl.obolibrary.org/obo/MONDO_0015744	disease	http://www.ebi.ac.uk/efo/EFO_0000408
chronic hepatitis C	hepatitis C virus infection	http://purl.obolibrary.org/obo/MONDO_0005231	disease	http://www.ebi.ac.uk/efo/EFO_0000408
chronic Hodgkin lymphoma	Hodgkins lymphoma	http://purl.obolibrary.org/obo/MONDO_0004952	disease	http://www.ebi.ac.uk/efo/EFO_0000408
chronic lymphocytic leukemia	chronic lymphocytic leukemia/small lymphocytic lymphoma	http://purl.obolibrary.org/obo/MONDO_0003864	disease	http://www.ebi.ac.uk/efo/EFO_0000408
chronic lymphocytic leukemia B-cell	B-cell chronic lymphocytic leukemia	http://purl.obolibrary.org/obo/MONDO_0004948	disease	http://www.ebi.ac.uk/efo/EFO_0000408
cingulate cortex	cingulate cortex	http://purl.obolibrary.org/obo/UBERON_0003027	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Cingulate Gyrus	cingulate gyrus	http://purl.obolibrary.org/obo/UBERON_0002967	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
circulating leukocytes	leukocyte	http://purl.obolibrary.org/obo/CL_0000738	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
Circulating mononuclear cells	peripheral blood mononuclear cell	http://purl.obolibrary.org/obo/CL_2000001	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
cirrhosis	cirrhosis of liver	http://purl.obolibrary.org/obo/MONDO_0005155	disease	http://www.ebi.ac.uk/efo/EFO_0000408
clear cell renal cell carcinoma	clear cell renal carcinoma	http://purl.obolibrary.org/obo/MONDO_0005005	disease	http://www.ebi.ac.uk/efo/EFO_0000408
Clear-cell renal cell carcinoma	clear cell renal carcinoma	http://purl.obolibrary.org/obo/MONDO_0005005	disease	http://www.ebi.ac.uk/efo/EFO_0000408
Clinical Breast Cancer Specimen	breast cancer	http://purl.obolibrary.org/obo/MONDO_0007254	disease	http://www.ebi.ac.uk/efo/EFO_0000408
CNS	central nervous system	http://purl.obolibrary.org/obo/UBERON_0001017	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Cocaine	cocaine	http://purl.obolibrary.org/obo/CHEBI_27958	treatment	http://www.ebi.ac.uk/efo/EFO_0000727
cochlea	cochlea	http://purl.obolibrary.org/obo/UBERON_0001844	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
colitis	colitis	http://purl.obolibrary.org/obo/MONDO_0005292	disease	http://www.ebi.ac.uk/efo/EFO_0000408
Colon	colon	http://purl.obolibrary.org/obo/UBERON_0001155	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
colon adenocarcinoma cells	colon adenocarcinoma	http://purl.obolibrary.org/obo/MONDO_0002271	disease	http://www.ebi.ac.uk/efo/EFO_0000408
colon adenocarcinoma stage II	colon adenocarcinoma	http://purl.obolibrary.org/obo/MONDO_0002271	disease	http://www.ebi.ac.uk/efo/EFO_0000408
colon cancer	malignant colon neoplasm	http://purl.obolibrary.org/obo/MONDO_0021063	disease	http://www.ebi.ac.uk/efo/EFO_0000408
Colon tissue from patient with colon cancer	malignant colon neoplasm	http://purl.obolibrary.org/obo/MONDO_0021063	disease	http://www.ebi.ac.uk/efo/EFO_0000408
colon tumor	malignant colon neoplasm	http://purl.obolibrary.org/obo/MONDO_0021063	disease	http://www.ebi.ac.uk/efo/EFO_0000408
Colorecal Cancer	colorectal cancer	http://purl.obolibrary.org/obo/MONDO_0005575	disease	http://www.ebi.ac.uk/efo/EFO_0000408
colorectal adenocarcinoma	colorectal adenocarcinoma	http://purl.obolibrary.org/obo/MONDO_0005008	disease	http://www.ebi.ac.uk/efo/EFO_0000408
colorectal cancer	colorectal cancer	http://purl.obolibrary.org/obo/MONDO_0005575	disease	http://www.ebi.ac.uk/efo/EFO_0000408
colorectal cancer cell line	colorectal cancer cell line	http://purl.obolibrary.org/obo/BTO_0001616	cell line	http://purl.obolibrary.org/obo/CLO_0000031
colorectal cancer cell line	colorectal cancer	http://purl.obolibrary.org/obo/MONDO_0005575	disease	http://www.ebi.ac.uk/efo/EFO_0000408
Colorectal cancer patient	colorectal cancer	http://purl.obolibrary.org/obo/MONDO_0005575	disease	http://www.ebi.ac.uk/efo/EFO_0000408
colorectal carcinoma cell line	colorectal cancer cell line	http://purl.obolibrary.org/obo/BTO_0001616	cell line	http://purl.obolibrary.org/obo/CLO_0000031
common reference sample	reference substance role	http://purl.obolibrary.org/obo/OBI_0000025	treatment	http://www.ebi.ac.uk/efo/EFO_0000727
common reference sample compsed of total RNAs isolated from whole blood from 20 Prachatice children	blood	http://purl.obolibrary.org/obo/UBERON_0000178	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Con	reference substance role	http://purl.obolibrary.org/obo/OBI_0000025	treatment	http://www.ebi.ac.uk/efo/EFO_0000727
Cone photoreceptor	cone retinal bipolar cell	http://purl.obolibrary.org/obo/CL_0000752	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
control	reference substance role	http://purl.obolibrary.org/obo/OBI_0000025	diet	http://www.ebi.ac.uk/efo/EFO_0002755
Control - 8 weeks	reference subject role	http://purl.obolibrary.org/obo/OBI_0000220	treatment	http://www.ebi.ac.uk/efo/EFO_0000727
Control (0)	reference substance role	http://purl.obolibrary.org/obo/OBI_0000025	treatment	http://www.ebi.ac.uk/efo/EFO_0000727
control (C)	reference subject role	http://purl.obolibrary.org/obo/OBI_0000220	disease	http://www.ebi.ac.uk/efo/EFO_0000408
control (no ionizing radiation)	reference subject role	http://purl.obolibrary.org/obo/OBI_0000220	treatment	http://www.ebi.ac.uk/efo/EFO_0000727
control (vehicle)	reference substance role	http://purl.obolibrary.org/obo/OBI_0000025	treatment	http://www.ebi.ac.uk/efo/EFO_0000727
Control diet	reference substance role	http://purl.obolibrary.org/obo/OBI_0000025	diet	http://www.ebi.ac.uk/efo/EFO_0002755
Control subject	reference subject role	http://purl.obolibrary.org/obo/OBI_0000220	disease	http://www.ebi.ac.uk/efo/EFO_0000408
COPD	chronic obstructive pulmonary disease	http://purl.obolibrary.org/obo/MONDO_0005002	disease	http://www.ebi.ac.uk/efo/EFO_0000408
COPD Subjects	chronic obstructive pulmonary disease	http://purl.obolibrary.org/obo/MONDO_0005002	disease	http://www.ebi.ac.uk/efo/EFO_0000408
Cord blood	umbilical cord blood	http://purl.obolibrary.org/obo/UBERON_0012168	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Corn Oil	corn oil	http://purl.obolibrary.org/obo/CHEBI_195250	treatment	http://www.ebi.ac.uk/efo/EFO_0000727
corpus callosum	corpus callosum	http://purl.obolibrary.org/obo/UBERON_0002336	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Corpus Striatum	corpus striatum	http://purl.obolibrary.org/obo/UBERON_0000369	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Cortex	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
cortical	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Cortical neuron	cerebral cortex neuron	http://purl.obolibrary.org/obo/CL_0010012	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
Cortical neurons	cerebral cortex neuron	http://purl.obolibrary.org/obo/CL_0010012	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
Cranial neural crest cells	cranial neural crest	http://purl.obolibrary.org/obo/UBERON_0003099	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
CTL	reference substance role	http://purl.obolibrary.org/obo/OBI_0000025	treatment	http://www.ebi.ac.uk/efo/EFO_0000727
ctr	reference substance role	http://purl.obolibrary.org/obo/OBI_0000025	treatment	http://www.ebi.ac.uk/efo/EFO_0000727
CTRL	reference substance role	http://purl.obolibrary.org/obo/OBI_0000025	treatment	http://www.ebi.ac.uk/efo/EFO_0000727
Cultured airway epithelial cells (basal cells)	basal cell of epithelium of bronchus	http://purl.obolibrary.org/obo/CL_1000349	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
Cultured cortical neurons	cerebral cortex neuron	http://purl.obolibrary.org/obo/CL_0010012	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
Cultured organotypic cerebellar slices	cerebellum	http://purl.obolibrary.org/obo/UBERON_0002037	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Cultured postnatal astrocytes from cerebral cortex	astrocyte of the cerebral cortex	http://purl.obolibrary.org/obo/CL_0002605	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
Current Smoker	smoking behavior	http://www.ebi.ac.uk/efo/EFO_0004318	environmental history	http://www.ebi.ac.uk/efo/EFO_0004444
Day0	initial time point	http://www.ebi.ac.uk/efo/EFO_0004425	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724
DBA	DBA	http://www.ebi.ac.uk/efo/EFO_0022419	strain	http://www.ebi.ac.uk/efo/EFO_0005135
DCIS high grade	ductal breast carcinoma in situ	http://purl.obolibrary.org/obo/MONDO_0005023	disease	http://www.ebi.ac.uk/efo/EFO_0000408
de novo AML	acute myeloid leukemia with multilineage dysplasia	http://purl.obolibrary.org/obo/MONDO_0019456	disease	http://www.ebi.ac.uk/efo/EFO_0000408
Dead	death stage	http://purl.obolibrary.org/obo/UBERON_0000071	environmental history	http://www.ebi.ac.uk/efo/EFO_0004444
Dechorionated embryo	embryo	http://purl.obolibrary.org/obo/UBERON_0000922	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
deltoid	deltoid	http://purl.obolibrary.org/obo/UBERON_0001476	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
dendritic cells	dendritic cell	http://purl.obolibrary.org/obo/CL_0000451	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
dengue shock syndrome	dengue shock syndrome	http://purl.obolibrary.org/obo/MONDO_0000248	disease	http://www.ebi.ac.uk/efo/EFO_0000408
Dentate Gyrus	dentate gyrus of hippocampal formation	http://purl.obolibrary.org/obo/UBERON_0001885	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Dentate Gyrus Hippocampus	dentate gyrus of hippocampal formation	http://purl.obolibrary.org/obo/UBERON_0001885	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
dermal fibroblasts	skin fibroblast	http://purl.obolibrary.org/obo/CL_0002620	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
Descending colon	descending colon	http://purl.obolibrary.org/obo/UBERON_0001158	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
dexamethasone	dexamethasone	http://purl.obolibrary.org/obo/CHEBI_41879	treatment	http://www.ebi.ac.uk/efo/EFO_0000727
DFC	dorsolateral prefrontal cortex	http://purl.obolibrary.org/obo/UBERON_0009834	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Diabetic	diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005015	disease	http://www.ebi.ac.uk/efo/EFO_0000408
Diagnostic_acute_leukemia	acute leukemia	http://purl.obolibrary.org/obo/MONDO_0010643	disease	http://www.ebi.ac.uk/efo/EFO_0000408
differentiated adipocytes	adipocyte	http://purl.obolibrary.org/obo/CL_0000136	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
diffuse intrinsic pontine glioma	diffuse intrinsic pontine glioma	http://purl.obolibrary.org/obo/MONDO_0006033	disease	http://www.ebi.ac.uk/efo/EFO_0000408
Diffuse large B-cell lymphoma	diffuse large B-cell lymphoma	http://purl.obolibrary.org/obo/MONDO_0018905	disease	http://www.ebi.ac.uk/efo/EFO_0000408
diffuse large B-cell lymphoma (DLBCL)	diffuse large B-cell lymphoma	http://purl.obolibrary.org/obo/MONDO_0018905	disease	http://www.ebi.ac.uk/efo/EFO_0000408
Dilated cardiomyopathy	dilated cardiomyopathy	http://purl.obolibrary.org/obo/MONDO_0005021	disease	http://www.ebi.ac.uk/efo/EFO_0000408
Distal colon	left colon	http://purl.obolibrary.org/obo/UBERON_0008971	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
distal lung epithelium	lung epithelium	http://purl.obolibrary.org/obo/UBERON_0000115	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
DLBCL	diffuse large B-cell lymphoma	http://purl.obolibrary.org/obo/MONDO_0018905	disease	http://www.ebi.ac.uk/efo/EFO_0000408
DLBCL patient sample	diffuse large B-cell lymphoma	http://purl.obolibrary.org/obo/MONDO_0018905	disease	http://www.ebi.ac.uk/efo/EFO_0000408
DLPFC	dorsolateral prefrontal cortex	http://purl.obolibrary.org/obo/UBERON_0009834	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
DMSO	dimethyl sulfoxide	http://purl.obolibrary.org/obo/CHEBI_28262	treatment	http://www.ebi.ac.uk/efo/EFO_0000727
DMSO control	reference substance role	http://purl.obolibrary.org/obo/OBI_0000025	treatment	http://www.ebi.ac.uk/efo/EFO_0000727
Dorsal dentate gyrus	dentate gyrus of hippocampal formation	http://purl.obolibrary.org/obo/UBERON_0001885	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
dorsal forebrain	forebrain	http://purl.obolibrary.org/obo/UBERON_0001890	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
dorsal hippocampus	Ammon's horn	http://purl.obolibrary.org/obo/UBERON_0001954	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Dorsal Lateral Prefrontal Cortex	dorsolateral prefrontal cortex	http://purl.obolibrary.org/obo/UBERON_0009834	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
dorsal lateral prefrontal cortex (Brodmann Area 9)	Brodmann (1909) area 9	http://purl.obolibrary.org/obo/UBERON_0013540	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
dorsal raphe nucleus	dorsal raphe nucleus	http://purl.obolibrary.org/obo/UBERON_0002043	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
dorsal root ganglia	dorsal root ganglion	http://purl.obolibrary.org/obo/UBERON_0000044	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
dorsal root ganglia (DRG)	dorsal root ganglion	http://purl.obolibrary.org/obo/UBERON_0000044	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
dorsal root ganglion	dorsal root ganglion	http://purl.obolibrary.org/obo/UBERON_0000044	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
dorsal skin	skin of back	http://purl.obolibrary.org/obo/UBERON_0001068	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
dorsal striatum	dorsal striatum	http://purl.obolibrary.org/obo/UBERON_0005382	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
dorsal telencephalon	dorsal pallium	http://purl.obolibrary.org/obo/UBERON_0014740	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
dorsolateral prefrontal cortex	dorsolateral prefrontal cortex	http://purl.obolibrary.org/obo/UBERON_0009834	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
dorsolateral prefrontal cortex (DLPFC)	dorsolateral prefrontal cortex	http://purl.obolibrary.org/obo/UBERON_0009834	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Down syndrome	Down syndrome	http://purl.obolibrary.org/obo/MONDO_0008608	disease	http://www.ebi.ac.uk/efo/EFO_0000408
dox	doxycycline	http://purl.obolibrary.org/obo/CHEBI_50845	treatment	http://www.ebi.ac.uk/efo/EFO_0000727
Dox+	doxycycline	http://purl.obolibrary.org/obo/CHEBI_50845	treatment	http://www.ebi.ac.uk/efo/EFO_0000727
doxycycline	doxycycline	http://purl.obolibrary.org/obo/CHEBI_50845	treatment	http://www.ebi.ac.uk/efo/EFO_0000727
DRG	dorsal root ganglion	http://purl.obolibrary.org/obo/UBERON_0000044	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
DRG_RNA	dorsal root ganglion	http://purl.obolibrary.org/obo/UBERON_0000044	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
DRGs	dorsal root ganglion	http://purl.obolibrary.org/obo/UBERON_0000044	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
DU145	DU 145	http://www.ebi.ac.uk/efo/EFO_0005441	cell line	http://purl.obolibrary.org/obo/CLO_0000031
Duodenum	duodenum	http://purl.obolibrary.org/obo/UBERON_0002114	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
dura mater	dura mater	http://purl.obolibrary.org/obo/UBERON_0002363	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Dutch	European	http://purl.obolibrary.org/obo/HANCESTRO_0005	population	http://purl.obolibrary.org/obo/OBI_0000181
EAE	experimental autoimmune encephalomyelitis	http://purl.obolibrary.org/obo/MONDO_0005134	disease	http://www.ebi.ac.uk/efo/EFO_0000408
ear tissue	ear	http://purl.obolibrary.org/obo/UBERON_0001690	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
EBV-transformed B lymphocytes	Epstein Barr virus transformed B cell	http://purl.obolibrary.org/obo/OBI_0100010	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
EBV-transformed B lymphocytes	lymphoblastoid cell line	http://www.ebi.ac.uk/efo/EFO_0005292	cell line	http://purl.obolibrary.org/obo/CLO_0000031
EBV-transformed B-cells	Epstein Barr virus transformed B cell	http://purl.obolibrary.org/obo/OBI_0100010	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
EBV-transformed lymphoblastoid cell line	Epstein Barr virus transformed B cell	http://purl.obolibrary.org/obo/OBI_0100010	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
EBV-transformed lymphoblastoid cells	Epstein Barr virus transformed B cell	http://purl.obolibrary.org/obo/OBI_0100010	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
EBV-transformed lymphoblastoid cells	lymphoblastoid cell line	http://www.ebi.ac.uk/efo/EFO_0005292	cell line	http://purl.obolibrary.org/obo/CLO_0000031
ECC-1	ECC-1 cell	http://purl.obolibrary.org/obo/CLO_0037231	cell line	http://purl.obolibrary.org/obo/CLO_0000031
embryo	embryo	http://purl.obolibrary.org/obo/UBERON_0000922	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Embryoid bodies	embryo	http://purl.obolibrary.org/obo/UBERON_0000922	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
embryonic brain	brain	http://purl.obolibrary.org/obo/UBERON_0000955	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
embryonic cerebral cortex	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Embryonic cortex	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
embryonic fibroblast	embryonic fibroblast	http://purl.obolibrary.org/obo/CL_2000042	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
embryonic fibroblasts	embryonic fibroblast	http://purl.obolibrary.org/obo/CL_2000042	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
embryonic kidney	kidney	http://purl.obolibrary.org/obo/UBERON_0002113	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
embryonic stem cell	embryonic stem cell	http://purl.obolibrary.org/obo/CL_0002322	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
Embryonic stem cells	embryonic stem cell	http://purl.obolibrary.org/obo/CL_0002322	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
empty vector	wild type genotype	http://www.ebi.ac.uk/efo/EFO_0005168	genotype	http://www.ebi.ac.uk/efo/EFO_0000513
