Identifier (KEY)	Phenotype valueUri (THE KEY MAP TO THIS)	Phenotype value 	Description use in annotator 	How we found the mapping	Source
MESH:C563975	http://purl.obolibrary.org/obo/HP_0002762	Multiple exostoses	Exostoses, Multiple, Type III	Case 6: Found Exact With HP Annotator (keywords taken out)	CTD
MESH:C563983	http://purl.obolibrary.org/obo/DOID_10629	microphthalmia	Nanophthalmos 1	Case 5a: Found Synonym With Disease Annotator Synonym (keywords taken out)	CTD
MESH:C563989	http://purl.obolibrary.org/obo/DOID_14503	neuronal ceroid lipofuscinosis	Ceroid Lipofuscinosis, Neuronal, 7	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C563991	http://purl.obolibrary.org/obo/DOID_10584	retinitis pigmentosa	Retinitis Pigmentosa 11	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C563992	http://purl.obolibrary.org/obo/DOID_10584	retinitis pigmentosa	Retinitis Pigmentosa 14	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C563999	http://purl.obolibrary.org/obo/DOID_10584	retinitis pigmentosa	Retinitis Pigmentosa 12	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C564007	http://purl.obolibrary.org/obo/DOID_0050565	autosomal recessive nonsyndromic deafness	Deafness, Autosomal Recessive 2	Case 5a: Found Synonym With Disease Annotator Synonym (keywords taken out)	CTD
MESH:C564008	http://purl.obolibrary.org/obo/DOID_10584	retinitis pigmentosa	Retinitis Pigmentosa 13	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C564035	http://purl.obolibrary.org/obo/DOID_10584	retinitis pigmentosa	Retinitis Pigmentosa, Y-Linked	Case 4: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C564048	http://purl.obolibrary.org/obo/HP_0001304	Torsion dystonia	Dystonia 3, Torsion, X-Linked	Case 6a: Found Exact With HP Annotator (keywords taken out)	CTD
MESH:C564065	http://purl.obolibrary.org/obo/DOID_10584	retinitis pigmentosa	Retinitis Pigmentosa 6	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C564091	http://purl.obolibrary.org/obo/DOID_11830	myopia	Myopia 1	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C564106	http://purl.obolibrary.org/obo/HP_0001249	Intellectual disability	Mental Retardation, X-Linked, Syndromic 12	Case 7: Found Synonym With HP Annotator Synonym (keywords taken out)	CTD
MESH:C564114	http://purl.obolibrary.org/obo/DOID_3652	Leigh disease	Leigh Syndrome, X-Linked	Case 5a: Found Synonym With Disease Annotator Synonym (keywords taken out)	CTD
MESH:C564115	http://purl.obolibrary.org/obo/HP_0001338	Partial agenesis of the corpus callosum	Corpus Callosum, Partial Agenesis of, X-Linked	Case 7a: Found Synonym With HP Annotator Synonym (keywords taken out)	CTD
MESH:C564180	http://purl.obolibrary.org/obo/DOID_4621	holoprosencephaly	Holoprosencephaly 4	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C564181	http://purl.obolibrary.org/obo/DOID_4621	holoprosencephaly	Holoprosencephaly 3	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C564219	http://purl.obolibrary.org/obo/DOID_0050524	maturity-onset diabetes of the young	Maturity-Onset Diabetes of the Young, Type 2	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C564234	http://purl.obolibrary.org/obo/DOID_1067	open-angle glaucoma	Glaucoma 1, Open Angle, A	Case 5: Found Synonym With Disease Annotator Synonym (keywords taken out)	CTD
MESH:C564242	http://purl.obolibrary.org/obo/DOID_11724	limb-girdle muscular dystrophy	Muscular Dystrophy, Limb-Girdle, Type 1F	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C564246	http://purl.obolibrary.org/obo/DOID_0050564	autosomal dominant nonsyndromic deafness	Deafness, Autosomal Dominant 43	Case 5a: Found Synonym With Disease Annotator Synonym (keywords taken out)	CTD
MESH:C564249	http://purl.obolibrary.org/obo/DOID_10584	retinitis pigmentosa	Retinitis Pigmentosa 26	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C564250	http://purl.obolibrary.org/obo/DOID_0050564	autosomal dominant nonsyndromic deafness	Deafness, Autosomal Dominant 49	Case 5a: Found Synonym With Disease Annotator Synonym (keywords taken out)	CTD
MESH:C564251	http://purl.obolibrary.org/obo/DOID_0050567	orofacial cleft	Orofacial Cleft 4	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C564258	http://purl.obolibrary.org/obo/HP_0001677	Coronary artery disease	Coronary Artery Disease, Autosomal Dominant, 1	Case 6a: Found Exact With HP Annotator (keywords taken out)	CTD
MESH:C564265	http://purl.obolibrary.org/obo/DOID_0050565	autosomal recessive nonsyndromic deafness	Deafness, Autosomal Recessive 39	Case 5a: Found Synonym With Disease Annotator Synonym (keywords taken out)	CTD
MESH:C564266	http://purl.obolibrary.org/obo/DOID_0050565	autosomal recessive nonsyndromic deafness	Deafness, Autosomal Recessive 40	Case 5a: Found Synonym With Disease Annotator Synonym (keywords taken out)	CTD
MESH:C564268	http://purl.obolibrary.org/obo/DOID_12185	otosclerosis	Otosclerosis 3	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C564272	http://purl.obolibrary.org/obo/DOID_0050564	autosomal dominant nonsyndromic deafness	Deafness, Autosomal Dominant 41	Case 5a: Found Synonym With Disease Annotator Synonym (keywords taken out)	CTD
MESH:C564273	http://purl.obolibrary.org/obo/DOID_0050565	autosomal recessive nonsyndromic deafness	Deafness, Autosomal Recessive 38	Case 5a: Found Synonym With Disease Annotator Synonym (keywords taken out)	CTD
MESH:C564284	http://purl.obolibrary.org/obo/DOID_10584	retinitis pigmentosa	Retinitis Pigmentosa 7	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C564300	http://purl.obolibrary.org/obo/DOID_332	amyotrophic lateral sclerosis	Amyotrophic Lateral Sclerosis 7	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C564310	http://purl.obolibrary.org/obo/DOID_10584	retinitis pigmentosa	Retinitis Pigmentosa 30	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C564322	http://purl.obolibrary.org/obo/DOID_0050564	autosomal dominant nonsyndromic deafness	Deafness, Autosomal Dominant 48	Case 5a: Found Synonym With Disease Annotator Synonym (keywords taken out)	CTD
MESH:C564331	http://purl.obolibrary.org/obo/DOID_0050565	autosomal recessive nonsyndromic deafness	Deafness, Autosomal Recessive 37	Case 5a: Found Synonym With Disease Annotator Synonym (keywords taken out)	CTD
MESH:C564334	http://purl.obolibrary.org/obo/DOID_0050604	acrocapitofemoral dysplasia	Acrocapitofemoral Dysplasia	Case 4a: Found Exact With Disease Annotator	CTD
MESH:C564348	http://purl.obolibrary.org/obo/DOID_0050564	autosomal dominant nonsyndromic deafness	Deafness, Autosomal Dominant 52	Case 5a: Found Synonym With Disease Annotator Synonym (keywords taken out)	CTD
MESH:C564354	http://purl.obolibrary.org/obo/HP_0001304	Torsion dystonia	Dystonia 13, Torsion	Case 6a: Found Exact With HP Annotator (keywords taken out)	CTD
MESH:C564361	http://purl.obolibrary.org/obo/DOID_1508	candidiasis	Candidiasis, Familial, 3	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C564388	http://purl.obolibrary.org/obo/DOID_12930	dilated cardiomyopathy	Cardiomyopathy, Dilated, 1N	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C564390	http://purl.obolibrary.org/obo/DOID_12930	dilated cardiomyopathy	Cardiomyopathy, Dilated, 1M	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C564392	http://purl.obolibrary.org/obo/DOID_0050683	Bothnia retinal dystrophy	Bothnia Retinal Dystrophy	Case 4a: Found Exact With Disease Annotator	CTD
MESH:C564399	http://purl.obolibrary.org/obo/DOID_0050564	autosomal dominant nonsyndromic deafness	Deafness, Autosomal Dominant 44	Case 5a: Found Synonym With Disease Annotator Synonym (keywords taken out)	CTD
MESH:C564400	http://purl.obolibrary.org/obo/DOID_0050431	arrhythmogenic right ventricular dysplasia	Arrhythmogenic Right Ventricular Dysplasia, Familial, 8	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C564404	http://purl.obolibrary.org/obo/HP_0001249	Intellectual disability	Mental Retardation, Autosomal Recessive 2	Case 7a: Found Synonym With HP Annotator Synonym (keywords taken out)	CTD
MESH:C564417	http://purl.obolibrary.org/obo/DOID_3265	chronic granulomatous disease	Granulomatous Disease, Chronic, X-Linked	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C564433	http://purl.obolibrary.org/obo/DOID_0050566	X-linked nonsyndromic deafness	Deafness, X-Linked 1	Case 5a: Found Synonym With Disease Annotator Synonym (keywords taken out)	CTD
MESH:C564457	http://purl.obolibrary.org/obo/DOID_10629	microphthalmia	Microphthalmia, Syndromic 4	Case 4: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C564472	http://purl.obolibrary.org/obo/DOID_0050566	X-linked nonsyndromic deafness	Deafness, X-Linked 5	Case 5a: Found Synonym With Disease Annotator Synonym (keywords taken out)	CTD
MESH:C564473	http://purl.obolibrary.org/obo/DOID_11830	myopia	Myopia 13	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C564475	http://purl.obolibrary.org/obo/DOID_10584	retinitis pigmentosa	Retinitis Pigmentosa 34	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C564476	http://purl.obolibrary.org/obo/DOID_5426	premature ovarian failure	Premature Ovarian Failure 2b	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C564479	http://purl.obolibrary.org/obo/HP_0004322	Short stature	Short Stature, Idiopathic, X-Linked	Case 6a: Found Exact With HP Annotator (keywords taken out)	CTD
MESH:C564480	http://purl.obolibrary.org/obo/DOID_14711	FG syndrome	Fg Syndrome 5	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C564482	http://purl.obolibrary.org/obo/HP_0001249	Intellectual disability	Mental Retardation, X-Linked 91	Case 7a: Found Synonym With HP Annotator Synonym (keywords taken out)	CTD
MESH:C564485	http://purl.obolibrary.org/obo/DOID_2747	glycogen storage disease	Glycogen Storage Disease, Type IXD	Case 4: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C564488	http://purl.obolibrary.org/obo/HP_0004912	Hypophosphatemic rickets	Hypophosphatemic Rickets, X-Linked Recessive	Case 6a: Found Exact With HP Annotator (keywords taken out)	CTD
MESH:C564489	http://purl.obolibrary.org/obo/HP_0001249	Intellectual disability	Mental Retardation, X-Linked 78	Case 7a: Found Synonym With HP Annotator Synonym (keywords taken out)	CTD
MESH:C564496	http://purl.obolibrary.org/obo/HP_0001249	Intellectual disability	Mental Retardation, X-Linked 82	Case 7a: Found Synonym With HP Annotator Synonym (keywords taken out)	CTD
MESH:C564498	http://purl.obolibrary.org/obo/DOID_5426	premature ovarian failure	Premature Ovarian Failure 2a	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C564501	http://purl.obolibrary.org/obo/HP_0001249	Intellectual disability	Mental Retardation, X-Linked 84	Case 7a: Found Synonym With HP Annotator Synonym (keywords taken out)	CTD
MESH:C564502	http://purl.obolibrary.org/obo/HP_0001249	Intellectual disability	Mental Retardation, X-Linked 52	Case 7a: Found Synonym With HP Annotator Synonym (keywords taken out)	CTD
MESH:C564503	http://purl.obolibrary.org/obo/HP_0001249	Intellectual disability	Mental Retardation, X-Linked 45	Case 7a: Found Synonym With HP Annotator Synonym (keywords taken out)	CTD
MESH:C564506	http://purl.obolibrary.org/obo/DOID_12377	spinal muscular atrophy	Spinal Muscular Atrophy, Distal, X-Linked 3	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C564507	http://purl.obolibrary.org/obo/DOID_0050572	cone-rod dystrophy	Cone-Rod Dystrophy, X-Linked, 3	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C564511	http://purl.obolibrary.org/obo/HP_0001249	Intellectual disability	Mental Retardation, X-Linked 77	Case 7a: Found Synonym With HP Annotator Synonym (keywords taken out)	CTD
MESH:C564513	http://purl.obolibrary.org/obo/HP_0001249	Intellectual disability	Mental Retardation, X-Linked 46	Case 7a: Found Synonym With HP Annotator Synonym (keywords taken out)	CTD
MESH:C564515	http://purl.obolibrary.org/obo/HP_0001249	Intellectual disability	Mental Retardation, X-Linked 81	Case 7a: Found Synonym With HP Annotator Synonym (keywords taken out)	CTD
MESH:C564520	http://purl.obolibrary.org/obo/DOID_10584	retinitis pigmentosa	Retinitis Pigmentosa 3	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C564522	http://purl.obolibrary.org/obo/HP_0001249	Intellectual disability	Mental Retardation, X-Linked 63	Case 7a: Found Synonym With HP Annotator Synonym (keywords taken out)	CTD
MESH:C564524	http://purl.obolibrary.org/obo/HP_0001249	Intellectual disability	Mental Retardation, X-Linked 42	Case 7a: Found Synonym With HP Annotator Synonym (keywords taken out)	CTD
MESH:C564528	http://purl.obolibrary.org/obo/HP_0001249	Intellectual disability	Mental Retardation, X-Linked 73	Case 7a: Found Synonym With HP Annotator Synonym (keywords taken out)	CTD
MESH:C564533	http://purl.obolibrary.org/obo/HP_0001249	Intellectual disability	Mental Retardation, X-Linked 53	Case 7a: Found Synonym With HP Annotator Synonym (keywords taken out)	CTD
MESH:C564539	http://purl.obolibrary.org/obo/DOID_1227	neutropenia	Neutropenia, Severe Congenital, X-Linked	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C564546	http://purl.obolibrary.org/obo/DOID_0050489	multinodular goiter	Goiter, Multinodular 2	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C564547	http://purl.obolibrary.org/obo/HP_0001249	Intellectual disability	Mental Retardation, X-Linked 72	Case 7a: Found Synonym With HP Annotator Synonym (keywords taken out)	CTD
MESH:C564560	http://purl.obolibrary.org/obo/HP_0001249	Intellectual disability	Mental Retardation, X-Linked, Syndromic 10	Case 7: Found Synonym With HP Annotator Synonym (keywords taken out)	CTD
MESH:C564563	http://purl.obolibrary.org/obo/DOID_0050453	lissencephaly	Lissencephaly, X-Linked, 2	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C564566	http://purl.obolibrary.org/obo/HP_0001249	Intellectual disability	Mental Retardation, X-Linked 58	Case 7a: Found Synonym With HP Annotator Synonym (keywords taken out)	CTD
MESH:C564590	http://purl.obolibrary.org/obo/DOID_1148	polydactyly	Polydactyly, Postaxial, Type A3	Case 5a: Found Synonym With Disease Annotator Synonym (keywords taken out)	CTD
MESH:C564597	http://purl.obolibrary.org/obo/DOID_0050572	cone-rod dystrophy	Cone-Rod Dystrophy 10	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C564599	http://purl.obolibrary.org/obo/HP_0001258	Spastic paraplegia	Spastic Paraplegia 7, Autosomal Recessive	Case 6a: Found Exact With HP Annotator (keywords taken out)	CTD
MESH:C564602	http://purl.obolibrary.org/obo/DOID_0050565	autosomal recessive nonsyndromic deafness	Deafness, Autosomal Recessive 33	Case 5a: Found Synonym With Disease Annotator Synonym (keywords taken out)	CTD
MESH:C564616	http://purl.obolibrary.org/obo/DOID_1441	spinocerebellar ataxia	Spinocerebellar Ataxia 17	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C564622	http://purl.obolibrary.org/obo/HP_0002511	Alzheimer disease	Alzheimer Disease 8	Case 6a: Found Exact With HP Annotator (keywords taken out)	CTD
MESH:C564624	http://purl.obolibrary.org/obo/DOID_0050565	autosomal recessive nonsyndromic deafness	Deafness, Autosomal Recessive 30	Case 5a: Found Synonym With Disease Annotator Synonym (keywords taken out)	CTD
MESH:C564626	http://purl.obolibrary.org/obo/DOID_12377	spinal muscular atrophy	Spinal Muscular Atrophy, Distal, Autosomal Recessive, 3	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C564627	http://purl.obolibrary.org/obo/DOID_14004	thoracic aortic aneurysm	Aortic Aneurysm, Familial Thoracic 2	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C564629	http://purl.obolibrary.org/obo/DOID_0050565	autosomal recessive nonsyndromic deafness	Deafness, Autosomal Recessive 31	Case 5a: Found Synonym With Disease Annotator Synonym (keywords taken out)	CTD
MESH:C564633	http://purl.obolibrary.org/obo/DOID_0050565	autosomal recessive nonsyndromic deafness	Deafness, Autosomal Recessive 22	Case 5a: Found Synonym With Disease Annotator Synonym (keywords taken out)	CTD
MESH:C564634	http://purl.obolibrary.org/obo/DOID_0050564	autosomal dominant nonsyndromic deafness	Deafness, Autosomal Dominant 21	Case 5a: Found Synonym With Disease Annotator Synonym (keywords taken out)	CTD
MESH:C564635	http://purl.obolibrary.org/obo/DOID_0050581	brachydactyly	Brachydactyly, Type A1, B	Case 4: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C564637	http://purl.obolibrary.org/obo/DOID_0050576	Senior-Loken syndrome	Senior-Loken Syndrome 3	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C564640	http://purl.obolibrary.org/obo/DOID_12712	nephronophthisis	Nephronophthisis 4	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C564643	http://purl.obolibrary.org/obo/DOID_0050439	Usher syndrome	Usher Syndrome, Type IG	Case 4: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C564675	http://purl.obolibrary.org/obo/DOID_0050564	autosomal dominant nonsyndromic deafness	Deafness, Autosomal Dominant 36	Case 5a: Found Synonym With Disease Annotator Synonym (keywords taken out)	CTD
MESH:C564679	http://purl.obolibrary.org/obo/DOID_12930	dilated cardiomyopathy	Cardiomyopathy, Dilated, 1l	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C564680	http://purl.obolibrary.org/obo/DOID_0050589	inflammatory bowel disease	Inflammatory Bowel Disease 4	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C564681	http://purl.obolibrary.org/obo/DOID_0050589	inflammatory bowel disease	Inflammatory Bowel Disease 6	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C564682	http://purl.obolibrary.org/obo/DOID_0050589	inflammatory bowel disease	Inflammatory Bowel Disease 8	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C564684	http://purl.obolibrary.org/obo/DOID_9258	Waardenburg's syndrome	Waardenburg Syndrome, Type 2C	Case 5a: Found Synonym With Disease Annotator Synonym (keywords taken out)	CTD
MESH:C564685	http://purl.obolibrary.org/obo/DOID_1441	spinocerebellar ataxia	Spinocerebellar Ataxia 15	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C564688	http://purl.obolibrary.org/obo/DOID_332	amyotrophic lateral sclerosis	Amyotrophic Lateral Sclerosis 3	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C564694	http://purl.obolibrary.org/obo/DOID_0060021	DNA ligase IV deficiency	LIG4 Syndrome	Case 5a: Found Synonym With Disease Annotator Synonym	CTD
MESH:C564696	http://purl.obolibrary.org/obo/DOID_0050632	oculocutaneous albinism	Oculocutaneous Albinism, Type IV	Case 4: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C564697	http://purl.obolibrary.org/obo/DOID_963	episodic ataxia	Episodic Ataxia, Type 3	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C564699	http://purl.obolibrary.org/obo/DOID_1699	congenital ichthyosiform erythroderma	Ichthyosis, Lamellar, 5	Case 5a: Found Synonym With Disease Annotator Synonym (keywords taken out)	CTD
MESH:C564706	http://purl.obolibrary.org/obo/DOID_0050564	autosomal dominant nonsyndromic deafness	Deafness, Autosomal Dominant 30	Case 5a: Found Synonym With Disease Annotator Synonym (keywords taken out)	CTD
MESH:C564713	http://purl.obolibrary.org/obo/HP_0001249	Intellectual disability	Mental Retardation, X-Linked 50	Case 7a: Found Synonym With HP Annotator Synonym (keywords taken out)	CTD
MESH:C564717	http://purl.obolibrary.org/obo/DOID_0050572	cone-rod dystrophy	Cone-Rod Dystrophy, X-Linked, 2	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C564723	http://purl.obolibrary.org/obo/DOID_0050566	X-linked nonsyndromic deafness	Deafness, X-Linked 4	Case 5a: Found Synonym With Disease Annotator Synonym (keywords taken out)	CTD
MESH:C564727	http://purl.obolibrary.org/obo/DOID_0050566	X-linked nonsyndromic deafness	Deafness, X-Linked 3	Case 5a: Found Synonym With Disease Annotator Synonym (keywords taken out)	CTD
MESH:C564767	http://purl.obolibrary.org/obo/DOID_3275	thymoma	Thymoma, Familial	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C564915	http://purl.obolibrary.org/obo/DOID_13533	osteopetrosis	Osteopetrosis, Autosomal Recessive 1	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C564921	http://purl.obolibrary.org/obo/DOID_12347	osteogenesis imperfecta	Osteogenesis Imperfecta, Type IX	Case 4: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C564953	http://purl.obolibrary.org/obo/DOID_14503	neuronal ceroid lipofuscinosis	Ceroid Lipofuscinosis, Neuronal, 1	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C565058	http://purl.obolibrary.org/obo/HP_0004445	Elliptocytosis	Elliptocytosis 2	Case 6a: Found Exact With HP Annotator (keywords taken out)	CTD
MESH:C565079	http://purl.obolibrary.org/obo/DOID_2729	dyskeratosis congenita	Dyskeratosis Congenita, Autosomal Dominant	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C565100	http://purl.obolibrary.org/obo/DOID_9744	type 1 diabetes mellitus	Diabetes Mellitus, Insulin-Dependent, 2	Case 5a: Found Synonym With Disease Annotator Synonym (keywords taken out)	CTD
MESH:C565101	http://purl.obolibrary.org/obo/DOID_0050524	maturity-onset diabetes of the young	Maturity-Onset Diabetes of the Young, Type 1	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C565121	http://purl.obolibrary.org/obo/DOID_0050564	autosomal dominant nonsyndromic deafness	Deafness, Autosomal Dominant 1	Case 5a: Found Synonym With Disease Annotator Synonym (keywords taken out)	CTD
MESH:C565145	http://purl.obolibrary.org/obo/DOID_0080033	craniometaphyseal dysplasia	Craniometaphyseal Dysplasia, Autosomal Dominant	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C565188	http://purl.obolibrary.org/obo/DOID_1441	spinocerebellar ataxia	Spinocerebellar Ataxia, Autosomal Recessive 8	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C565193	http://purl.obolibrary.org/obo/DOID_0050689	brachydactyly-syndactyly syndrome	Brachydactyly-Syndactyly Syndrome	Case 4a: Found Exact With Disease Annotator	CTD
MESH:C565196	http://purl.obolibrary.org/obo/DOID_10871	age related macular degeneration	Macular Degeneration, Age-Related, 4	Case 5a: Found Synonym With Disease Annotator Synonym (keywords taken out)	CTD
MESH:C565198	http://purl.obolibrary.org/obo/DOID_3191	nemaline myopathy	Nemaline Myopathy 7	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C565202	http://purl.obolibrary.org/obo/DOID_11830	myopia	Myopia 14	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C565206	http://purl.obolibrary.org/obo/DOID_10584	retinitis pigmentosa	Retinitis Pigmentosa 35	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C565207	http://purl.obolibrary.org/obo/DOID_0050565	autosomal recessive nonsyndromic deafness	Deafness, Autosomal Recessive 67	Case 5a: Found Synonym With Disease Annotator Synonym (keywords taken out)	CTD
MESH:C565210	http://purl.obolibrary.org/obo/HP_0001258	Spastic paraplegia	Spastic Paraplegia 31, Autosomal Dominant	Case 6a: Found Exact With HP Annotator (keywords taken out)	CTD
MESH:C565211	http://purl.obolibrary.org/obo/DOID_0050565	autosomal recessive nonsyndromic deafness	Deafness, Autosomal Recessive 65	Case 5a: Found Synonym With Disease Annotator Synonym (keywords taken out)	CTD
MESH:C565214	http://purl.obolibrary.org/obo/HP_0001258	Spastic paraplegia	Spastic Paraplegia 33, Autosomal Dominant	Case 6a: Found Exact With HP Annotator (keywords taken out)	CTD
MESH:C565218	http://purl.obolibrary.org/obo/DOID_0050565	autosomal recessive nonsyndromic deafness	Deafness, Autosomal Recessive 28	Case 5a: Found Synonym With Disease Annotator Synonym (keywords taken out)	CTD
MESH:C565221	http://purl.obolibrary.org/obo/DOID_10780	primary polycythemia	Erythrocytosis, Familial, 3	Case 5a: Found Synonym With Disease Annotator Synonym (keywords taken out)	CTD
MESH:C565227	http://purl.obolibrary.org/obo/DOID_0060170	generalized epilepsy with febrile seizures plus	Generalized Epilepsy With Febrile Seizures Plus, Type 4	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C565228	http://purl.obolibrary.org/obo/HP_0002511	Alzheimer disease	Alzheimer Disease 11	Case 6a: Found Exact With HP Annotator (keywords taken out)	CTD
MESH:C565234	http://purl.obolibrary.org/obo/DOID_0050589	inflammatory bowel disease	Inflammatory Bowel Disease 5	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C565239	http://purl.obolibrary.org/obo/DOID_0050564	autosomal dominant nonsyndromic deafness	Deafness, Autosomal Dominant 24	Case 5a: Found Synonym With Disease Annotator Synonym (keywords taken out)	CTD
MESH:C565251	http://purl.obolibrary.org/obo/HP_0002511	Alzheimer disease	Alzheimer Disease 7	Case 6a: Found Exact With HP Annotator (keywords taken out)	CTD
MESH:C565260	http://purl.obolibrary.org/obo/DOID_0050489	multinodular goiter	Goiter, Multinodular 3	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C565261	http://purl.obolibrary.org/obo/DOID_2477	motor peripheral neuropathy	Hereditary Motor And Sensory Neuropathy, Type IIC	Case 5: Found Synonym With Disease Annotator Synonym (keywords taken out)	CTD
MESH:C565267	http://purl.obolibrary.org/obo/DOID_0050564	autosomal dominant nonsyndromic deafness	Deafness, Autosomal Dominant 18	Case 5a: Found Synonym With Disease Annotator Synonym (keywords taken out)	CTD
MESH:C565274	http://purl.obolibrary.org/obo/DOID_4621	holoprosencephaly	Holoprosencephaly 6	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C565279	http://purl.obolibrary.org/obo/DOID_3310	atopic dermatitis	Dermatitis, Atopic, 6	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C565280	http://purl.obolibrary.org/obo/DOID_3310	atopic dermatitis	Dermatitis, Atopic, 5	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C565287	http://purl.obolibrary.org/obo/DOID_0050565	autosomal recessive nonsyndromic deafness	Deafness, Autosomal Recessive 27	Case 5a: Found Synonym With Disease Annotator Synonym (keywords taken out)	CTD
MESH:C565291	http://purl.obolibrary.org/obo/DOID_3310	atopic dermatitis	Dermatitis, Atopic, 4	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C565292	http://purl.obolibrary.org/obo/DOID_3310	atopic dermatitis	Dermatitis, Atopic, 3	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C565293	http://purl.obolibrary.org/obo/DOID_3310	atopic dermatitis	Dermatitis, Atopic, 2	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
