# Expression data file generated by Gemma on 02/05/2009
# shortName=GSE59
# name=Human cancer cell lines
# Experiment details: http://chibi.ubc.ca/Gemma/expressionExperiment/showExpressionExperiment.html?id=452
# If you use this file for your research, please cite the Gemma web site: http://chibi.ubc.ca/Gemma
Probe	GeneSymbol	GeneName	GSE59_bioMaterial_68___K.562(CL7005)LEUKEMIA	GSE59_bioMaterial_67___HL.60(CL7008)LEUKEMIA	GSE59_bioMaterial_66___OVCAR.4(CL6002)OVARIAN	GSE59_bioMaterial_7___HCT.15_CL4015__COLON	GSE59_bioMaterial_6___HCC.2998(CL4002)COLON	GSE59_bioMaterial_3___COLO205_CL4010_COLON	GSE59_bioMaterial_2___SW.620_CL4009_COLON	GSE59_bioMaterial_1___HT.29___CL4001__COLON	GSE59_bioMaterial_5___KM12__CL4017_COLON	GSE59_bioMaterial_4___HCT.116_CL4003_COLON	GSE59_bioMaterial_8___ADR.RES_CL5002_UNKNOWN	GSE59_bioMaterial_11___K562A.repro	GSE59_bioMaterial_10___K562B.repro	GSE59_bioMaterial_14___SR_CL7019__LEUKEMIA	GSE59_bioMaterial_9___MOLT.4_CL7006_LEUKEMIA	GSE59_bioMaterial_12___CCRF.CEM_CL7003_LEUKEMIA	GSE59_bioMaterial_13___RPMI.8226_CL7010__LEUKEMIA	GSE59_bioMaterial_17___OVCAR.8_CL6005_OVARIAN	GSE59_bioMaterial_16___OVCAR.5_CL6003_OVARIAN	GSE59_bioMaterial_15___OVCAR.3_CL6001_OVARIAN	GSE59_bioMaterial_19___IGROV1_CL6010_OVARIAN	GSE59_bioMaterial_18___SK.OV.3_CL6011_OVARIAN	GSE59_bioMaterial_20___DU.145_CL11003_PROSTATE	GSE59_bioMaterial_21___SK.MEL.28_CL10008_MELANOMA	GSE59_bioMaterial_23___SK.MEL.5_CL10007_MELANOMA	GSE59_bioMaterial_27___SK.MEL.2_CL10005_MELANOMA	GSE59_bioMaterial_22___UACC.257CL10021_MELANOMA	GSE59_bioMaterial_24___MALME.3M_CL10002_MELANOMA	GSE59_bioMaterial_25___M.14_CL10014_MELANOMA	GSE59_bioMaterial_26___UACC.62_CL10020_MELANOMA	GSE59_bioMaterial_28___NCI.H23_CL1001__NSCLC	GSE59_bioMaterial_34___A549_CL1004__NSCLC	GSE59_bioMaterial_32___HOP.62_CL1026_NSCLC	GSE59_bioMaterial_36___NCI.H322_CL1017_NSCLC	GSE59_bioMaterial_33___NCI.H460_CL1021_NSCLC	GSE59_bioMaterial_31___NCI.H522_CL1003__NSCLC	GSE59_bioMaterial_29___EKVX__CL1008_NSCLC	GSE59_bioMaterial_35___HOP.92__CL1029_NSCLC	GSE59_bioMaterial_30___NCI.H226_CL1013__NSCLC	GSE59_bioMaterial_39___SF.295_CL12015_CNS	GSE59_bioMaterial_37___SNB.19_CL12002_CNS	GSE59_bioMaterial_38___SF.539__CL12016_CNS	GSE59_bioMaterial_41___U251_CL12009_CNS	GSE59_bioMaterial_40___SF.268__CL12014_CNS	GSE59_bioMaterial_48___BT.549_CL5013_BREAST	GSE59_bioMaterial_52___BreastTumor16XNCIreference	GSE59_bioMaterial_44___MDA.N_CL5012__BREAST	GSE59_bioMaterial_47___MCF7_CL5001__BREAST	GSE59_bioMaterial_49___BC2LymphNodeXNCIreference	GSE59_bioMaterial_53___MDA.MB.231_CL5005__BREAST	GSE59_bioMaterial_43___MCF7D.repro	GSE59_bioMaterial_42___BreastTumor2XNCIreference	GSE59_bioMaterial_51___MDA.MB.435_CL5011__BREAST	GSE59_bioMaterial_45___MCF7A.repro	GSE59_bioMaterial_46___T.47D__CL5014__BREAST	GSE59_bioMaterial_50___HS_578T_CL5006__BREAST	GSE59_bioMaterial_55___786.0__CL9018_RENAL	GSE59_bioMaterial_61___A498_CL9013_RENAL	GSE59_bioMaterial_57___RXF.393_CL9016__RENAL	GSE59_bioMaterial_58___UO.31_CL9004__RENAL	GSE59_bioMaterial_60___SNB.75_CL12005_RENAL	GSE59_bioMaterial_54___TK.10_CL9024_RENAL	GSE59_bioMaterial_62___SN12C_CL9008__RENAL	GSE59_bioMaterial_56___ACHN_CL9023_RENAL	GSE59_bioMaterial_59___CAKI.1(CL9015)RENAL	GSE59_bioMaterial_63___NormalBreast	GSE59_bioMaterial_64___LOXIMVI(CL10001)MELANOMA	GSE59_bioMaterial_65___PC.3(CL11001)PROSTATE
2222	PAPD4	PAP associated domain containing 4	0.754	-2.021	0.844	-0.639	NaN	NaN	-0.289	-0.611	-1.273	0.096	1.843	0.688	0.302	1.927	NaN	NaN	NaN	1.788	1.079	1.137	-0.281	NaN	-0.682	2.795	1.317	3.083	1.546	2.465	NaN	1.457	-0.763	-0.892	1.32	-0.627	1.497	-0.565	0.027	2.33	-0.204	NaN	NaN	1.687	1.785	1.801	NaN	0.05	0.913	-1.052	NaN	0.174	-0.645	1.294	1.787	-0.791	-0.203	1.422	0.785	-0.937	1.698	2.07	1.671	1.185	0.507	1.375	1.337	NaN	NaN	NaN	
2223	COPS8	COP9 constitutive photomorphogenic homolog subunit 8 (Arabidopsis)	-0.288	-0.088	-0.353	-0.066	-0.015	-0.367	0.43	-0.46	-0.295	-0.122	0.09	-0.38	NaN	0.354	0.098	0.427	NaN	0.746	0.328	NaN	NaN	-0.121	-0.01	1.83	0.691	0.624	1.112	1.455	0.977	0.806	0.278	0.373	0.743	0.128	NaN	0.765	0.117	0.399	0.23	1.323	0.694	NaN	0.454	1.003	1.059	-0.2	1.484	-0.337	NaN	-0.289	-0.21	0.236	0.674	-0.281	0.05	0.821	0.139	0.302	-0.244	0.208	0.892	0.506	0.13	1.244	0.151	NaN	0.272	0.549	
2224	EIF5B	eukaryotic translation initiation factor 5B	0.99	0.763	0.037	0.291	-0.349	-0.697	-0.451	-0.422	-1.015	-0.192	0.671	0.856	0.617	-0.107	-0.419	-0.162	NaN	0.353	-0.395	-0.155	-0.216	-0.067	-0.439	0.319	-0.249	-0.534	0.192	-0.023	-0.58	0.231	0.605	0.21	-0.107	-0.586	-0.15	0.184	0.191	-0.158	-0.258	NaN	-0.25	NaN	-0.574	0.184	-0.343	-0.662	0.239	0.179	NaN	-0.121	0.141	-0.366	0.155	0.204	-0.454	-0.404	-0.473	-0.134	0.14	-0.479	-0.423	-0.273	-0.152	-0.371	-0.244	NaN	0.366	0.175	
2225	PNN	pinin, desmosome associated protein	0.597	0.866	-0.122	0.322	-0.028	-0.025	0.448	-0.147	-1.085	-0.201	0.646	0.6	0.075	0.077	0.807	1.021	NaN	0.546	0.998	-0.464	-0.177	-0.319	0.449	-0.249	-0.425	-0.516	-0.155	-0.714	-0.739	-0.311	0.142	0.018	0.425	0.0020	0.309	0.21	-0.592	0.414	-1.039	-0.735	-0.808	0.436	0.03	-0.713	-0.182	-0.606	-0.176	0.385	NaN	-0.242	0.77	-1.156	-0.2	0.539	0.532	-0.705	-0.079	-0.865	-0.39	-0.161	-0.511	0.287	-0.161	-0.825	-0.501	-0.906	0.683	0.379	
2226	ERBB3	v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)	-1.305	NaN	0.056	1.244	1.543	1.663	1.363	1.397	1.317	-0.235	0.509	NaN	NaN	NaN	-2.829	NaN	NaN	0.812	-1.327	NaN	NaN	NaN	-0.766	1.603	-1.973	2.479	0.78	2.209	2.144	1.17	-2.252	-1.181	NaN	0.411	NaN	-1.624	NaN	-4.705	0.613	NaN	NaN	NaN	-1.859	-1.844	-2.113	2.623	1.085	2.021	2.913	-2.993	1.954	2.573	1.444	2.268	2.228	-2.624	-2.097	NaN	-2.438	NaN	0.767	-0.617	0.075	-1.449	NaN	1.882	NaN	NaN	
2227	MAGT1|DKFZp564K142	magnesium transporter 1|	-0.523	0.021	0.399	0.099	0.087	0.369	-0.107	0.436	0.185	0.015	-0.0050	-0.204	NaN	-0.131	-0.127	-0.105	NaN	0.174	0.217	0.173	-0.086	0.408	-0.432	0.302	-0.57	0.103	0.139	0.417	0.591	-0.241	0.126	-0.152	0.164	0.063	0.088	-0.318	0.454	0.635	0.671	NaN	0.116	NaN	0.22	0.02	0.105	0.932	-0.36	-0.347	NaN	-0.446	-0.179	0.688	-0.671	-0.111	0.192	0.057	0.597	0.502	0.537	0.504	0.707	1.524	0.0080	0.629	0.221	1.039	-0.099	0.198	
2228	TCEAL7	transcription elongation factor A (SII)-like 7	0.263	-0.018	-0.713	-0.212	0.262	0.397	0.511	0.047	-0.487	-0.047	-0.207	0.011	0.036	-0.351	0.406	0.186	NaN	-0.64	1.063	-0.015	0.386	0.0010	-0.242	0.656	0.282	0.897	0.393	0.543	0.665	0.089	-0.016	-0.427	-0.403	-0.0050	-0.581	1.528	-0.726	0.955	-0.0080	-0.087	0.294	0.489	0.468	-0.318	-0.514	-0.57	0.873	0.81	NaN	-0.097	0.749	-0.445	0.827	0.686	1.372	0.168	-0.397	-0.551	-1.118	0.214	0.178	-0.444	0.34	-0.587	-0.033	NaN	0.205	0.544	
2229	SMOC2	SPARC related modular calcium binding 2	NaN	NaN	NaN	NaN	NaN	2.02	1.944	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
223	PON1	paraoxonase 1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
2230	IRS2	insulin receptor substrate 2	-0.27	0.303	-0.65	-0.46	-0.207	1.47	0.189	-0.394	0.154	-0.653	-0.588	-0.014	NaN	NaN	NaN	0.05	NaN	-0.105	-0.498	0.474	NaN	NaN	0.133	0.111	1.982	0.993	NaN	1.555	0.107	0.486	-1.805	-0.059	-0.639	-0.352	NaN	-0.133	0.656	-0.175	-0.338	NaN	NaN	NaN	-0.296	-0.221	-0.881	0.028	-0.06	-0.06	NaN	-0.451	0.167	NaN	-0.122	0.115	-0.728	NaN	0.229	1.251	1.317	-0.423	NaN	-0.463	0.251	NaN	0.497	NaN	-0.349	-0.817	
2231	STARD7	StAR-related lipid transfer (START) domain containing 7	0.496	0.475	0.122	0.366	0.526	0.28	0.37	0.129	-0.03	0.364	0.442	0.735	0.644	0.537	0.698	0.609	0.895	0.825	0.387	-0.016	-0.389	0.079	-0.435	0.597	0.732	-0.048	0.523	0.526	0.636	0.19	0.655	0.119	0.173	-0.052	0.279	0.847	0.077	0.333	-0.47	0.052	0.39	0.0070	0.127	-0.04	-0.707	-0.0060	0.819	0.899	NaN	-0.135	0.936	-0.046	0.654	1.244	-0.737	-0.347	-0.171	-0.235	0.089	-0.448	0.116	0.156	-0.847	0.451	-0.101	NaN	-0.08	0.241	
2232	HPS4|KIAA1667	Hermansky-Pudlak syndrome 4|	NaN	0.402	NaN	NaN	NaN	NaN	0.712	0.047	NaN	NaN	0.041	NaN	NaN	0.381	1.911	1.141	NaN	NaN	1.779	NaN	NaN	NaN	0.443	2.173	2.747	2.217	2.577	2.334	2.144	0.756	0.253	NaN	0.856	NaN	NaN	0.525	NaN	NaN	NaN	NaN	NaN	NaN	0.358	NaN	NaN	NaN	1.833	0.69	NaN	NaN	NaN	NaN	1.877	NaN	0.216	NaN	0.799	NaN	0.449	0.301	NaN	NaN	NaN	1.134	NaN	NaN	NaN	NaN	
2233	C16orf5	chromosome 16 open reading frame 5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.76	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.311	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
2234	ARHGDIB	Rho GDP dissociation inhibitor (GDI) beta	-1.075	3.281	-0.667	-3.254	-3.215	-3.389	-3.004	-1.279	-3.215	-3.836	-3.269	-0.391	-0.631	-2.006	3.78	3.696	2.21	-4.979	0.382	-0.773	-3.632	-3.588	-2.934	-4.842	-5.973	-2.45	-3.393	-3.2	-3.451	-0.781	-4.246	-3.929	-0.097	1.482	NaN	-4.81	-3.878	-2.849	-2.823	-1.573	-4.364	-4.993	-2.197	-1.955	-2.228	0.821	-4.446	-3.45	1.388	-1.705	-3.238	0.32	-3.169	-4.225	-2.272	-2.794	-3.708	-3.541	-1.901	-0.354	-3.817	-5.449	-4.643	-3.062	-2.98	NaN	-0.131	-2.404	
2235	ATP5G1	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C1 (subunit 9)	-2.238	-1.928	-0.939	-1.17	-1.796	-2.165	-3.244	-1.775	-1.358	-2.054	-1.706	-1.135	-0.816	-2.479	-2.36	-0.898	-1.077	0.032	-1.856	-0.122	-2.107	-2.048	-2.349	-1.412	-2.536	-2.396	-2.236	-2.245	-2.162	-2.355	-2.123	-0.249	-0.784	-1.255	NaN	-2.161	-1.701	0.043	1.942	-0.25	-0.505	NaN	0.0070	1.139	-1.282	NaN	-1.984	-2.954	NaN	0.55	-1.407	NaN	-1.807	-2.177	-2.349	1.762	-1.24	-0.751	-2.026	0.437	-2.811	-1.56	0.231	-1.904	-0.108	-1.988	0.071	-1.44	
2236	UROD	uroporphyrinogen decarboxylase	2.096	-0.179	-0.687	-0.573	NaN	-1.168	-0.486	NaN	-1.034	-0.275	-0.105	2.039	2.036	0.382	-0.798	-0.834	NaN	-0.231	-0.752	-1.099	-0.737	NaN	-0.45	0.127	-0.707	-0.124	NaN	0.136	0.381	0.313	-0.975	-1.436	0.201	-0.992	NaN	-0.185	-0.212	0.175	0.537	NaN	-0.165	NaN	0.519	0.255	-0.229	NaN	-0.122	NaN	NaN	-0.247	NaN	NaN	-0.21	-1.592	-0.721	NaN	0.185	0.267	-0.0050	0.19	NaN	0.535	-0.092	-0.435	-0.501	NaN	-0.019	0.081	
2237	CTGF	connective tissue growth factor	-3.007	-3.158	0.456	-3.036	-2.86	-3.771	-3.121	-4.307	-3.17	-2.073	-0.275	-3.229	-3.678	-3.735	-3.737	-5.069	-2.819	0.237	-1.223	-1.22	-2.228	-1.036	-2.507	-1.48	-3.426	0.849	-2.497	-1.609	-2.621	-2.343	-2.012	-2.121	-1.026	-2.65	NaN	-1.022	-1.239	-2.627	-0.704	-1.334	0.243	-0.447	-0.432	-1.442	1.18	0.602	-4.151	-3.235	1.215	-0.438	-3.231	0.409	-3.998	-3.718	-3.305	3.05	-2.375	-2.06	-0.144	-1.164	-1.116	-2.161	-2.238	-1.343	-1.206	-0.54	-1.107	-2.054	
2238	MLEC	malectin	NaN	0.225	NaN	0.336	0.539	1.324	NaN	0.854	0.277	NaN	0.124	0.365	NaN	-0.143	NaN	0.0020	NaN	-0.59	NaN	NaN	NaN	NaN	0.17	0.874	0.062	0.78	NaN	NaN	0.669	0.867	0.338	-0.33	NaN	NaN	NaN	NaN	NaN	0.0080	NaN	NaN	NaN	NaN	0.211	0.344	NaN	NaN	0.22	NaN	NaN	0.014	NaN	NaN	NaN	0.287	0.231	NaN	NaN	NaN	0.349	0.289	NaN	-0.169	NaN	NaN	0.467	NaN	NaN	NaN	
2239	UBE2Z	ubiquitin-conjugating enzyme E2Z	-0.35	-0.255	0.033	0.134	0.345	0.324	-0.276	0.225	NaN	0.438	0.502	0.046	NaN	0.231	-0.13	NaN	NaN	0.568	0.467	NaN	-0.287	0.628	0.271	0.041	0.403	0.712	NaN	0.746	0.968	0.328	0.57	0.472	0.995	-0.012	NaN	1.143	0.31	0.618	0.682	NaN	-0.06	NaN	0.224	1.047	0.356	NaN	0.148	0.39	NaN	0.936	0.633	NaN	0.097	0.639	0.368	NaN	0.535	0.704	-0.13	0.322	0.634	0.478	1.423	0.587	0.357	NaN	0.716	0.479	
224			NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-3.808	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
2240	NDUFV1	NADH dehydrogenase (ubiquinone) flavoprotein 1, 51kDa	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
2241	LAP3	leucine aminopeptidase 3	0.534	0.124	-0.532	-0.819	0.297	0.116	-0.49	1.401	0.068	0.232	-0.951	0.706	0.58	0.756	0.239	-0.041	0.906	-0.342	-0.169	0.138	0.0080	0.026	0.362	-0.168	-0.788	0.325	-0.215	0.441	0.39	-0.054	0.164	0.0080	0.357	0.64	0.284	-0.365	-0.614	-0.0080	0.383	0.227	0.094	0.355	0.149	-0.492	0.685	0.824	0.183	0.667	0.233	0.083	0.79	0.519	0.114	1.023	-0.689	-0.425	0.47	-0.082	0.462	-0.478	-0.373	0.133	-0.394	-0.149	0.194	NaN	-0.291	0.226	
2242	COL6A3	collagen, type VI, alpha 3	0.169	0.656	0.787	-0.059	-0.269	-0.587	-0.515	-0.178	-0.432	-0.184	-0.252	-0.01	-0.274	0.172	0.32	-0.415	0.105	-0.328	-0.387	-0.15	-0.319	-0.019	-0.053	-0.212	0.42	0.018	0.205	0.284	-0.23	0.538	0.034	0.119	-0.274	-0.491	NaN	0.101	0.359	-0.56	0.447	0.2	-0.26	NaN	0.024	-0.394	0.125	NaN	-0.095	-0.123	NaN	-0.305	-0.048	NaN	-0.227	-0.306	-0.379	0.253	-0.346	0.11	-0.33	-0.81	-0.417	-0.904	-0.432	-0.842	-0.274	NaN	0.01	0.566	
2243	DNM1L	dynamin 1-like	0.243	0.499	0.592	0.19	0.284	NaN	0.809	0.117	0.128	NaN	0.166	0.265	NaN	0.055	1.409	0.443	NaN	0.585	NaN	0.066	NaN	2.296	-0.157	0.56	-0.15	NaN	NaN	0.57	0.198	0.121	0.705	0.385	1.404	0.933	NaN	0.0090	0.47	0.541	0.328	NaN	NaN	NaN	-0.175	0.145	0.705	0.36	-0.057	-0.201	NaN	-0.776	0.238	NaN	-0.252	0.047	0.409	-0.06	NaN	0.155	0.138	0.374	NaN	0.228	NaN	1.203	0.35	NaN	NaN	NaN	
2244	RAB11FIP2	RAB11 family interacting protein 2 (class I)	-0.703	0.19	1.34	-0.098	-0.484	NaN	-0.304	-1.312	-1.489	0.098	-1.304	-0.964	NaN	-0.522	-0.038	0.353	NaN	-0.644	-0.398	0.067	-0.522	0.484	0.568	-0.34	-0.113	0.258	-0.269	0.359	0.395	-0.623	-0.517	0.281	NaN	NaN	0.473	0.027	-0.1	-1.149	0.222	NaN	0.089	-0.955	-0.71	-1.344	-1.476	NaN	0.085	-0.745	NaN	-0.742	-0.605	NaN	0.085	-0.588	-1.469	-0.763	-0.494	-0.37	-0.788	0.155	-0.759	-0.376	-0.883	0.559	-0.115	NaN	0.417	NaN	
2245	CD63	CD63 molecule	NaN	NaN	-0.517	-0.048	NaN	NaN	-0.393	NaN	-0.139	0.304	0.187	NaN	NaN	NaN	NaN	0.646	NaN	0.459	1.028	0.547	NaN	NaN	0.176	0.263	0.291	NaN	NaN	NaN	0.067	NaN	-0.367	0.762	0.056	NaN	NaN	NaN	0.362	-0.03	0.999	NaN	NaN	NaN	0.522	0.29	0.458	2.231	0.549	NaN	NaN	-0.068	NaN	NaN	0.427	NaN	0.607	NaN	-0.042	0.854	0.265	0.243	0.5	NaN	1.41	0.96	0.504	NaN	0.203	0.175	
2246	EIF4A3	eukaryotic translation initiation factor 4A, isoform 3	NaN	0.542	0.319	-0.818	0.212	NaN	0.726	0.429	-0.673	0.118	0.559	0.536	NaN	0.217	1.003	0.705	NaN	0.583	0.484	NaN	NaN	NaN	0.5	-0.139	0.112	NaN	NaN	NaN	NaN	NaN	0.088	NaN	-0.108	NaN	NaN	0.492	0.021	NaN	0.104	NaN	NaN	NaN	NaN	-0.998	0.38	1.074	-0.052	0.663	NaN	-1.165	0.905	NaN	-0.555	1.186	0.656	NaN	-0.557	-0.048	-0.411	-0.067	NaN	0.253	NaN	NaN	0.176	NaN	NaN	0.361	
2247	SMTN	smoothelin	NaN	NaN	0.143	NaN	NaN	NaN	0.65	NaN	NaN	0.652	1.248	NaN	NaN	NaN	NaN	NaN	-0.37	1.314	0.751	NaN	NaN	NaN	0.163	NaN	NaN	NaN	NaN	0.265	NaN	1.359	0.416	NaN	0.846	NaN	NaN	1.001	NaN	NaN	-0.269	NaN	NaN	NaN	0.321	NaN	1.195	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.113	NaN	0.767	0.504	0.305	2.096	NaN	NaN	0.412	1.301	-0.129	NaN	1.121	1.15	
2248	chargey.iApr07|chogey.aApr07-unspliced|chargey.lApr07|RASGRF2.eApr07	|||	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.071	NaN	NaN	NaN	NaN	NaN	0.934	NaN	NaN	2.063	NaN	NaN	NaN	NaN	0.094	0.057	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.809	NaN	NaN	NaN	NaN	NaN	2.338	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
2249			-2.105	-2.793	-0.803	-0.872	-0.841	-2.078	-1.999	-0.669	-1.613	-0.938	0.134	-1.806	-2.292	-1.696	-2.997	-4.573	NaN	1.04	-0.03	0.568	-0.872	0.361	0.092	-0.497	-0.905	-0.481	-0.84	-1.314	0.142	0.011	1.473	0.097	0.187	-0.95	NaN	-1.443	0.1	-0.239	1.426	1.314	0.519	0.788	0.238	0.473	0.605	1.31	-0.593	-2.238	1.211	0.773	-1.477	0.391	-0.338	-1.552	0.605	1.904	-0.15	0.312	0.807	0.447	1.268	0.58	-0.163	-0.196	0.204	1.53	0.017	-0.015	
225	WNT9B	wingless-type MMTV integration site family, member 9B	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-5.585	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.258	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
2250	PTGFRN	prostaglandin F2 receptor negative regulator	-1.006	-1.732	-0.992	-0.038	-0.471	NaN	-1.177	-1.405	-0.66	0.031	-2.147	-0.721	NaN	-5.299	-4.14	-4.304	NaN	NaN	-0.492	1.218	-0.332	NaN	-0.632	0.73	-1.603	-1.598	-0.014	0.297	0.722	1.126	-2.471	-0.773	-1.27	-1.06	0.613	-2.441	0.093	NaN	-0.139	0.287	0.701	1.411	0.383	-0.344	-2.574	-0.059	-0.43	-0.55	1.211	NaN	-0.091	1.895	-0.0070	-0.502	0.084	2.201	0.687	0.048	1.297	0.652	1.809	-0.482	-7.27	-0.615	1.493	0.648	NaN	-4.091	
2251	LOC93622	hypothetical LOC93622	0.264	0.718	0.231	0.065	0.685	0.173	-0.482	0.405	0.629	0.185	0.811	0.231	0.489	0.121	0.67	0.532	0.251	0.301	-0.202	0.037	-0.0020	-0.362	0.461	-0.582	-0.158	0.318	-0.233	0.082	0.477	-0.709	0.173	0.014	0.348	0.334	0.113	0.278	0.487	0.983	-0.217	0.103	0.211	1.563	-0.112	-0.159	0.385	-0.085	0.179	0.537	NaN	0.263	0.376	-0.592	0.046	0.421	0.81	0.148	0.448	0.402	0.043	0.483	0.218	0.665	0.775	-0.199	0.046	-0.251	0.155	0.115	
2252	CDK5RAP2	CDK5 regulatory subunit associated protein 2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
2253	BUB3	budding uninhibited by benzimidazoles 3 homolog (yeast)	0.962	0.188	-0.0080	0.136	0.252	-0.183	-0.44	0.201	0.488	0.466	-0.462	0.378	0.466	0.188	0.134	-0.445	0.292	-0.282	-0.173	-0.116	-0.032	-0.27	0.236	-0.375	0.152	0.324	0.23	0.598	0.292	0.109	0.555	0.366	0.403	0.057	0.453	0.495	0.247	0.088	0.691	0.033	0.689	0.562	0.508	0.153	0.684	-0.72	1.006	-0.439	NaN	-0.068	-0.021	-0.133	1.072	-0.55	0.011	-0.255	0.388	0.069	-0.138	-0.161	-0.478	-0.05	0.402	-0.385	-0.136	-0.88	0.294	0.494	
2254	ZKSCAN1.aApr07		-0.051	0.076	1.154	NaN	NaN	NaN	0.16	NaN	NaN	-0.431	NaN	NaN	NaN	0.478	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.624	0.0070	NaN	1.822	1.139	NaN	0.242	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.812	1.155	NaN	NaN	1.084	NaN	0.691	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.009	NaN	NaN	0.506	
2255			0.567	1.422	0.024	0.21	-0.334	0.466	0.553	0.072	-0.776	0.067	-0.257	0.266	0.284	-0.166	0.722	0.642	0.075	-0.342	0.136	0.348	-0.277	0.171	-0.81	-0.586	-0.52	-0.346	0.186	NaN	0.518	-0.758	-0.322	-0.712	-0.466	-1.035	NaN	0.016	NaN	-0.094	-0.358	NaN	NaN	NaN	-0.256	-0.386	-0.547	0.24	-0.265	0.556	NaN	NaN	0.484	NaN	-0.485	-0.033	-0.299	-0.304	-0.664	-0.404	0.032	0.059	0.356	-0.773	-1.551	-0.545	-0.12	NaN	0.115	-0.144	
