Pubmeds	Data Source	Gene NCBI	Gene Symbol	Taxon	Phenotype Names	Phenotype URIs		Web Link	Is Negative	Note	Curator	Mesh terms	Score
15024694	CTD	10084	Slc6a4	rat	microcephaly	http://purl.obolibrary.org/obo/DOID_10907					Jenni/Nathan	Male; Microcephaly; Molecular Sequence Data; Mutation; Nuclear Proteins; Syndrome; Abnormalities, Multiple; Pedigree; Amino Acid Sequence; Carrier Proteins; Base Sequence; Genetic Diseases, X-Linked; Female; Humans; Intellectual Disability; 	3
15025721	CTD (human)	7399	Bdnf	rat	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Polymorphism, Genetic; Syndrome; Retinitis Pigmentosa; Humans; Hearing Loss; North America; Mutation; Extracellular Matrix Proteins; Gene Frequency; Great Britain; Case-Control Studies; DNA Mutational Analysis; 	2
15090652	RGD	762	Ep300	rat	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Retinitis Pigmentosa; Immunohistochemistry; Mutation; Up-Regulation; COS Cells; Blotting, Western; Carbonic Anhydrase IV; Electrophoresis, Polyacrylamide Gel; Chromosomes, Human, Pair 17; Humans; Gene Expression Regulation, Enzymologic; Animals; Apoptosis; 	3
15452722	CTD	2979	Agtr1a	rat	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Aged; Adult; Arginine; Amino Acid Sequence; Calcium-Binding Proteins; Base Sequence; Electroretinography; Pedigree; Molecular Sequence Data; Mutation; Male; Middle Aged; Humans; Isoleucine; Threonine; Retinal Diseases; Visual Fields; Female; Fundus Oculi; Genes, Dominant; Genetic Testing; Glycine; Guanylate Cyclase-Activating Proteins; 	3
15475955	CTD	701	Ager	mouse	microcephaly	http://purl.obolibrary.org/obo/DOID_10907					Jenni/Nathan	Mosaicism; Molecular Sequence Data; Protein-Serine-Threonine Kinases; Mitotic Spindle Apparatus; Humans; Genetic Predisposition to Disease; Protein Kinases; Cell Cycle Proteins; Aneuploidy; Neoplasms; Alleles; Mutation; Abnormalities, Multiple; 	2
15696165		22930	Il1b	mouse	microcephaly	http://purl.obolibrary.org/obo/DOID_10907					Jenni/Nathan	Mutation; Molecular Sequence Data; Syndrome; Humans; rab GTP-Binding Proteins; Genitalia; Eye Abnormalities; Central Nervous System; Catalytic Domain; 	3
15883926	CTD (human)	26128	RFT1	human	microcephaly	http://purl.obolibrary.org/obo/DOID_10907					Jenni/Nathan	Enteric Nervous System; Hirschsprung Disease; Female; Humans; Intellectual Disability; Nerve Tissue Proteins; Male; Nervous System Malformations; Codon, Nonsense; Consanguinity; Base Sequence; Chromosomes, Human, Pair 10; Pedigree; Abnormalities, Multiple; Syndrome; 	2
15887980	RGD	6890	Muc5b	mouse	open-angle glaucoma	http://purl.obolibrary.org/obo/DOID_1067					Jenni/Nathan	Glaucoma, Open-Angle; Genetic Predisposition to Disease; Heterozygote; Humans; Polymorphism, Genetic; Middle Aged; Male; ATP-Binding Cassette Transporters; Adult; Aged; Asian Continental Ancestry Group; Case-Control Studies; China; Codon; Female; Gene Frequency; 	2
15911114	RGD	24717	Cat	rat	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Flicker Fusion; Homozygote; Animals, Genetically Modified; Electroretinography; Rats; Male; Mutation; Retinal Cone Photoreceptor Cells; Rats, Sprague-Dawley; Retina; Retinal Degeneration; Rhodopsin; Retinal Rod Photoreceptor Cells; Aging; Animals; 	1
16020311	RGD	10133	Ngfr	rat	exfoliation syndrome	http://purl.obolibrary.org/obo/DOID_13641			neg		Jenni/Nathan	Transcription Factor TFIIIA; Case-Control Studies; Aged, 80 and over; Aged; Adult; Polymorphism, Single Nucleotide; Sweden; Haplotypes; Glaucoma, Open-Angle; Female; Genetic Variation; Cohort Studies; DNA Mutational Analysis; Male; Middle Aged; Humans; 	0
16020311	RGD	10133	RARB	human	open-angle glaucoma	http://purl.obolibrary.org/obo/DOID_1067			neg		Jenni/Nathan	Transcription Factor TFIIIA; Case-Control Studies; Aged, 80 and over; Aged; Adult; Polymorphism, Single Nucleotide; Sweden; Haplotypes; Glaucoma, Open-Angle; Female; Genetic Variation; Cohort Studies; DNA Mutational Analysis; Male; Middle Aged; Humans; 	0
16055928	RGD	6103	SOD2	human	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Retinitis Pigmentosa; Microsatellite Repeats; Mutation; Male; Humans; Kartagener Syndrome; Genotype; Genetic Diseases, X-Linked; Female; Eye Proteins; DNA Mutational Analysis; Cilia; Adult; Adolescent; Pedigree; Phenotype; Respiratory Mucosa; 	2
16103353	RGD	64639	Gria1	rat	glaucoma	http://purl.obolibrary.org/obo/DOID_1686					Jenni/Nathan	Blotting, Western; Animals; Apoptosis; Analysis of Variance; Phosphorylation; Optic Nerve; Glaucoma; Female; Cytochromes c; Calcineurin; Mitochondria; Mice, Inbred DBA; Intraocular Pressure; Mice; Male; Rats; Rats, Inbred BN; Retinal Ganglion Cells; Tacrolimus; bcl-Associated Death Protein; 	1
16141009	RGD	259266	Ntf4	rat	microcephaly	http://purl.obolibrary.org/obo/DOID_10907					Jenni/Nathan	Microcephaly; Humans; Male; Pedigree; Mutation; Nerve Tissue Proteins; Saudi Arabia; Brain; Seizures; Female; Family; DNA Mutational Analysis; Consanguinity; 	4
16272259	CTD (human)	23746	Pck1	mouse	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Child, Preschool; Cloning, Molecular; Child; Female; DNA Mutational Analysis; Eye Proteins; Male; Middle Aged; Membrane Proteins; Aged; Carrier Proteins; Adolescent; Adult; cis-trans-Isomerases; Retinitis Pigmentosa; Receptors, Cell Surface; Infant; Phenotype; Humans; Nerve Tissue Proteins; Guanylate Cyclase; Mutation; Proteins; Polymorphism, Genetic; 	2
16272259	CTD (human)	23418	Sgk1	mouse	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Child, Preschool; Cloning, Molecular; Child; Female; DNA Mutational Analysis; Eye Proteins; Male; Middle Aged; Membrane Proteins; Aged; Carrier Proteins; Adolescent; Adult; Infant; Humans; Guanylate Cyclase; cis-trans-Isomerases; Retinitis Pigmentosa; Receptors, Cell Surface; Phenotype; Nerve Tissue Proteins; Mutation; Proteins; Polymorphism, Genetic; 	2
16272259	CTD	3000	Rlbp1	mouse	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Child, Preschool; Cloning, Molecular; Child; Female; DNA Mutational Analysis; Eye Proteins; Male; Middle Aged; Membrane Proteins; Aged; Carrier Proteins; Adolescent; Adult; Infant; Humans; Guanylate Cyclase; cis-trans-Isomerases; Retinitis Pigmentosa; Receptors, Cell Surface; Phenotype; Nerve Tissue Proteins; Mutation; Proteins; Polymorphism, Genetic; 	2
16272259	CTD	6121	Ntrk3	rat	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Child, Preschool; Cloning, Molecular; Child; Female; DNA Mutational Analysis; Eye Proteins; Male; Middle Aged; Membrane Proteins; Aged; Carrier Proteins; Adolescent; Adult; Infant; Humans; Guanylate Cyclase; cis-trans-Isomerases; Retinitis Pigmentosa; Receptors, Cell Surface; Phenotype; Nerve Tissue Proteins; Mutation; Proteins; Polymorphism, Genetic; 	2
16272259	CTD (human)	57096	SFPQ	human	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Child, Preschool; Cloning, Molecular; Child; Female; DNA Mutational Analysis; Eye Proteins; Male; Middle Aged; Membrane Proteins; Aged; Carrier Proteins; Adolescent; Adult; Infant; Humans; Guanylate Cyclase; cis-trans-Isomerases; Retinitis Pigmentosa; Receptors, Cell Surface; Phenotype; Nerve Tissue Proteins; Mutation; Proteins; Polymorphism, Genetic; 	2
16330497	CTD (human)	5743	SOD2	human	open-angle glaucoma	http://purl.obolibrary.org/obo/DOID_1067					Jenni/Nathan	Cilia; Cyclooxygenase 2; Cannabinoids; Cells, Cultured; Extracellular Signal-Regulated MAP Kinases; Gene Expression Regulation, Enzymologic; Dinoprostone; Epithelial Cells; Dose-Response Relationship, Drug; p38 Mitogen-Activated Protein Kinases; Nitrobenzenes; Tissue Inhibitor of Metalloproteinase-1; Matrix Metalloproteinases; Humans; RNA, Messenger; Phosphorylation; Arachidonic Acids; Tetrahydrocannabinol; Sulfonamides; 	2
16384941	CTD	3614	Gstm6	mouse	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Tandem Repeat Sequences; Retinitis Pigmentosa; Polymorphism, Single Nucleotide; Polymorphism, Single-Stranded Conformational; Pedigree; Polymerase Chain Reaction; Male; IMP Dehydrogenase; Child; DNA Mutational Analysis; Female; Gene Frequency; Genes, Dominant; Humans; Mutation; Molecular Sequence Data; Middle Aged; Adolescent; Adult; Aged; Amino Acid Sequence; Blindness; 	3
16677633	RGD	29687	ADCY8	human	ocular hypertension	http://purl.obolibrary.org/obo/DOID_9282					Jenni/Nathan	Ocular Hypertension; Models, Animal; Immunohistochemistry; Humans; Glaucoma; Complement Membrane Attack Complex; Complement C3; Complement C1q; Complement Activation; Animals; Case-Control Studies; Rats, Inbred BN; Reverse Transcriptase Polymerase Chain Reaction; Retina; Optic Nerve; Rats; 	1
16677633	RGD	24232	S100b	rat	ocular hypertension	http://purl.obolibrary.org/obo/DOID_9282					Jenni/Nathan	Ocular Hypertension; Models, Animal; Immunohistochemistry; Humans; Glaucoma; Complement Membrane Attack Complex; Complement C3; Complement C1q; Complement Activation; Animals; Case-Control Studies; Rats, Inbred BN; Reverse Transcriptase Polymerase Chain Reaction; Retina; Optic Nerve; Rats; 	1
16677633	RGD	713	CYLD	human	ocular hypertension	http://purl.obolibrary.org/obo/DOID_9282					Jenni/Nathan	Ocular Hypertension; Models, Animal; Immunohistochemistry; Humans; Glaucoma; Complement Membrane Attack Complex; Complement C3; Complement C1q; Complement Activation; Animals; Case-Control Studies; Rats, Inbred BN; Reverse Transcriptase Polymerase Chain Reaction; Retina; Optic Nerve; Rats; 	3
16677633	RGD	718	ABCA6	human	ocular hypertension	http://purl.obolibrary.org/obo/DOID_9282					Jenni/Nathan	Ocular Hypertension; Models, Animal; Immunohistochemistry; Humans; Glaucoma; Complement Membrane Attack Complex; Complement C3; Complement C1q; Complement Activation; Animals; Case-Control Studies; Rats, Inbred BN; Reverse Transcriptase Polymerase Chain Reaction; Retina; Optic Nerve; Rats; 	3
16707124	RGD	83571	Ccnd2	rat	glaucoma	http://purl.obolibrary.org/obo/DOID_1686					Jenni/Nathan	Reverse Transcriptase Polymerase Chain Reaction; Retinal Ganglion Cells; Veins; Sclera; Female; Glaucoma; Apoptosis; Disease Models, Animal; Animals; Rats, Wistar; Retina; Rats; Ligation; Nerve Growth Factors; Intraocular Pressure; 	1
16737970	CTD	6010	Hoxd4	mouse	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Retinaldehyde; Retinal Degeneration; Protein Transport; Mutation, Missense; Humans; Golgi Apparatus; Genes, Recessive; Cell Line; Transfection; Rod Opsins; Retinitis Pigmentosa; 	1
16740914	CTD	10084	PER3	human	microcephaly	http://purl.obolibrary.org/obo/DOID_10907					Jenni/Nathan	Conserved Sequence; Carrier Proteins; DNA Mutational Analysis; Heart Septal Defects, Atrial; Mental Retardation, X-Linked; Humans; Male; Microcephaly; Molecular Sequence Data; Mutation, Missense; Sequence Alignment; Syndrome; Nuclear Proteins; Pedigree; Protein Structure, Tertiary; Amino Acid Sequence; Adult; Adolescent; 	2
16968212	CTD (human)	145226	ACE2	human	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Retina; Vitamins; Photoreceptor Cells; Models, Animal; Humans; Vitamin A; Vision Disorders; Animals; Genetic Therapy; Retinoids; Retinal Diseases; 	0
16968212	CTD	5995	HEY1	human	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Vitamins; Vitamin A; Animals; Genetic Therapy; Retina; Photoreceptor Cells; Models, Animal; Humans; Vision Disorders; Retinoids; Retinal Diseases; 	2
16968212	CTD	24	Neurod1	rat	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Vitamins; Vitamin A; Animals; Genetic Therapy; Retina; Photoreceptor Cells; Models, Animal; Humans; Vision Disorders; Retinoids; Retinal Diseases; 	3
16968212	CTD	6121	Nes	mouse	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Vitamins; Vitamin A; Animals; Genetic Therapy; Retina; Photoreceptor Cells; Models, Animal; Humans; Vision Disorders; Retinoids; Retinal Diseases; 	4
17045251	RGD	246097	Plp1	mouse	ocular hypertension	http://purl.obolibrary.org/obo/DOID_9282					Jenni/Nathan	Retina; Animals; Antigens, CD95; Disease Models, Animal; Fas Ligand Protein; Fas-Associated Death Domain Protein; Glaucoma; Glial Fibrillary Acidic Protein; Intraocular Pressure; Male; Neuroglia; Ocular Hypertension; Rats, Sprague-Dawley; Rats; 	1
17102796	RGD	24763	STRADA	human	ocular hypertension	http://purl.obolibrary.org/obo/DOID_9282					Jenni/Nathan	Eye Proteins; Disease Models, Animal; Gene Expression Profiling; Astrocytes; Animals; Computer Systems; Ocular Hypertension; Intraocular Pressure; Immunohistochemistry; Neuroglia; Polymerase Chain Reaction; Rats; Oligonucleotide Array Sequence Analysis; Retina; Rats, Mutant Strains; Tissue Distribution; Retinal Ganglion Cells; 	1
17102796	RGD	25583	S100A4	human	ocular hypertension	http://purl.obolibrary.org/obo/DOID_9282					Jenni/Nathan	Eye Proteins; Disease Models, Animal; Gene Expression Profiling; Astrocytes; Animals; Computer Systems; Ocular Hypertension; Intraocular Pressure; Immunohistochemistry; Neuroglia; Polymerase Chain Reaction; Rats; Oligonucleotide Array Sequence Analysis; Retina; Rats, Mutant Strains; Tissue Distribution; Retinal Ganglion Cells; 	1
17460227	CTD	10059	CTNNB1	human	microcephaly	http://purl.obolibrary.org/obo/DOID_10907					Jenni/Nathan	Fatty Acids; Female; Fibroblasts; GTP Phosphohydrolases; Abnormalities, Multiple; Acidosis, Lactic; Eye Abnormalities; Fatal Outcome; Mitochondrial Proteins; Muscle Hypotonia; Mutation; Mitochondria; Humans; Peroxisomes; Sequence Analysis, DNA; Male; Infant, Newborn; Microcephaly; Open Reading Frames; Microtubule-Associated Proteins; 	2
17480003	CTD	6103	ATG5	human	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Genes, Recessive; Genetic Diseases, X-Linked; Humans; Male; Aged, 80 and over; Aged; Adult; Adolescent; Retinitis Pigmentosa; Middle Aged; Mutation, Missense; Pedigree; Fluorescein Angiography; Fundus Oculi; X Chromosome Inactivation; Genes, Dominant; DNA Mutational Analysis; Eye Proteins; Female; Child; Child, Preschool; Chromosomes, Human, X; 	2
17563720	CTD (human)	2908	APOC2	human	ocular hypertension	http://purl.obolibrary.org/obo/DOID_9282					Jenni/Nathan	Steroids; Retreatment; Receptors, Glucocorticoid; Prednisolone; Hungary; Intraocular Pressure; Heterozygote; Humans; Middle Aged; Male; Fluorometholone; Genetic Predisposition to Disease; Glucocorticoids; Genetic Variation; Postoperative Care; Ocular Hypertension; Adult; Female; Corneal Surgery, Laser; 	2
17640403	RGD	24888	GFRA1	human	ocular hypertension	http://purl.obolibrary.org/obo/DOID_9282					Jenni/Nathan	Analysis of Variance; Adrenergic alpha-Agonists; Cell Count; Animals; Brain-Derived Neurotrophic Factor; Rats; RNA, Messenger; Rats, Sprague-Dawley; Pyridinium Compounds; Quinoxalines; Ocular Hypertension; Proto-Oncogene Proteins c-bcl-2; Reverse Transcriptase Polymerase Chain Reaction; Time Factors; Retinal Ganglion Cells; Oncogene Protein v-akt; Gene Expression Regulation; Disease Models, Animal; Chronic Disease; Male; Glial Fibrillary Acidic Protein; 	1
18055803	RGD	64033	BAG4	human	glaucoma	http://purl.obolibrary.org/obo/DOID_1686					Jenni/Nathan	Up-Regulation; Reverse Transcriptase Polymerase Chain Reaction; Retinal Ganglion Cells; Retina; Rats, Wistar; Oligonucleotide Array Sequence Analysis; Rats; Male; Optic Nerve Injuries; Laser Coagulation; Intraocular Pressure; Animals; Axotomy; Apoptosis; Eye Proteins; Disease Models, Animal; Gene Expression; Glaucoma; Gene Expression Profiling; In Situ Hybridization; 	1
18203167		8242	KERA	human	microcephaly	http://purl.obolibrary.org/obo/DOID_10907					Jenni/Nathan	Tumor Suppressor Proteins; Autistic Disorder; Child, Preschool; Base Sequence; Humans; DNA Mutational Analysis; Female; Point Mutation; Retinoblastoma-Binding Protein 2; Intracellular Signaling Peptides and Proteins; Pedigree; 	0
18273801	CTD	6010	CHEK2	human	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Rhodopsin; Translocation, Genetic; Male; Retinal Degeneration; Craniofacial Abnormalities; Humans; Infant, Newborn; Infant, Premature; Chromosomes, Human, Pair 3; Chromosomes, Human, Pair 5; 	1
18342287		10479	B4GALT1	human	microcephaly	http://purl.obolibrary.org/obo/DOID_10907					Jenni/Nathan	Child, Preschool; DNA Mutational Analysis; Electroencephalography; Epilepsy; Male; Membrane Proteins; Humans; Mental Retardation, X-Linked; Magnetic Resonance Imaging; Adult; Angelman Syndrome; Ataxia; Child; Sodium-Hydrogen Antiporter; Pedigree; Phenotype; Microcephaly; Mutation; Syndrome; 	3
18385099	RGD	3614	GNAS	human	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Retinitis Pigmentosa; Transduction, Genetic; IMP Dehydrogenase; Humans; Mice, Inbred C57BL; Mice; Models, Animal; Dependovirus; Down-Regulation; Genes, Dominant; Genetic Therapy; Genetic Vectors; HeLa Cells; RNA, Small Interfering; RNA Interference; Mutation; Molecular Sequence Data; Animals; Base Sequence; 	1
18614622	CTD	8671	GHR	human	glaucoma	http://purl.obolibrary.org/obo/DOID_1686					Jenni/Nathan	Gene Expression; Codon, Nonsense; Cell Line; Amebicides; Immunoblotting; Humans; Gentamicins; Sodium-Bicarbonate Symporters; Immunohistochemistry; Acidosis, Renal Tubular; RNA, Messenger; 	1
18626730	RGD	24273	PLA2G7	human	ocular hypertension	http://purl.obolibrary.org/obo/DOID_9282					Jenni/Nathan	Superoxide Dismutase; Spectrometry, Mass, Matrix-Assisted Laser Desorption-Ionization; alpha-Crystallin A Chain; Triose-Phosphate Isomerase; Dexamethasone; Down-Regulation; Disease Models, Animal; Retina; Apolipoprotein A-I; Animals; Oxidative Stress; Proteomics; Intraocular Pressure; Ocular Hypertension; Electrophoresis, Gel, Two-Dimensional; Glucocorticoids; Rats; Rats, Wistar; 	1
18626730	RGD	24786	TXN	human	ocular hypertension	http://purl.obolibrary.org/obo/DOID_9282					Jenni/Nathan	Superoxide Dismutase; Spectrometry, Mass, Matrix-Assisted Laser Desorption-Ionization; alpha-Crystallin A Chain; Triose-Phosphate Isomerase; Dexamethasone; Down-Regulation; Disease Models, Animal; Retina; Apolipoprotein A-I; Animals; Oxidative Stress; Proteomics; Intraocular Pressure; Ocular Hypertension; Electrophoresis, Gel, Two-Dimensional; Glucocorticoids; Rats; Rats, Wistar; 	1
18627055	CTD	2290	F5	human	microcephaly	http://purl.obolibrary.org/obo/DOID_10907					Jenni/Nathan	Phenotype; Oligonucleotide Array Sequence Analysis; Nerve Tissue Proteins; Karyotyping; Humans; Intellectual Disability; Forkhead Transcription Factors; Female; Chromosomes, Human, Pair 14; Craniofacial Abnormalities; Child; Chromosome Deletion; Abnormalities, Multiple; Polymerase Chain Reaction; Rett Syndrome; 	1
18628313	CTD	2074	PPARG	human	microcephaly	http://purl.obolibrary.org/obo/DOID_10907					Jenni/Nathan	Male; Genetic Complementation Test; Sequence Alignment; Syndrome; Microcephaly; Molecular Sequence Data; DNA Repair Enzymes; DNA Repair; DNA Mutational Analysis; Female; Facies; Cell Survival; Cells, Cultured; DNA Helicases; Cataract; Blotting, Western; Infant, Newborn; Humans; Amino Acid Sequence; Arthrogryposis; 	3
18701913	RGD	116484	AGT	human	glaucoma	http://purl.obolibrary.org/obo/DOID_1686					Jenni/Nathan	Electroporation; Cell Count; Animals; Glaucoma; Genetic Therapy; Gene Expression; Thioredoxins; Rats, Wistar; Retinal Ganglion Cells; Immunohistochemistry; Models, Animal; Nerve Degeneration; Oxidative Stress; Rats; 	0
18701913	RGD	117514	PPARA	human	glaucoma	http://purl.obolibrary.org/obo/DOID_1686					Jenni/Nathan	Electroporation; Cell Count; Animals; Glaucoma; Genetic Therapy; Gene Expression; Thioredoxins; Rats, Wistar; Retinal Ganglion Cells; Immunohistochemistry; Models, Animal; Nerve Degeneration; Oxidative Stress; Rats; 	1
18711368	CTD (human)	80746	COMT	human	microcephaly	http://purl.obolibrary.org/obo/DOID_10907					Jenni/Nathan	Syndrome; Pons; Mutation; Models, Molecular; Polymorphism, Single Nucleotide; Chromosomes, Human, Pair 17; Humans; Endoribonucleases; Brain; Chromosome Mapping; Cerebellum; 	1
18711368	CTD (human)	79042	PTGS2	human	microcephaly	http://purl.obolibrary.org/obo/DOID_10907					Jenni/Nathan	Syndrome; Pons; Mutation; Models, Molecular; Polymorphism, Single Nucleotide; Chromosomes, Human, Pair 17; Humans; Endoribonucleases; Brain; Chromosome Mapping; Cerebellum; 	1
18711368	CTD (human)	283989	ANK3	human	microcephaly	http://purl.obolibrary.org/obo/DOID_10907					Jenni/Nathan	Syndrome; Pons; Mutation; Models, Molecular; Polymorphism, Single Nucleotide; Chromosomes, Human, Pair 17; Humans; Endoribonucleases; Brain; Chromosome Mapping; Cerebellum; 	3
18728071	CTD	6925	MMP9	human	microcephaly	http://purl.obolibrary.org/obo/DOID_10907					Jenni/Nathan	Face; DNA-Binding Proteins; DNA Mutational Analysis; Child, Preschool; Child; Basic Helix-Loop-Helix Leucine Zipper Transcription Factors; Apnea; Adolescent; Young Adult; Transcription Factors; Syndrome; Phenotype; Microcephaly; Infant; Male; Intellectual Disability; Hyperventilation; Genotype; Humans; Female; 	4
18728752	RGD	6623	CSMD1	human	glaucoma	http://purl.obolibrary.org/obo/DOID_1686					Jenni/Nathan	RNA, Messenger; Protein Transport; Rats; Gene Expression Regulation; Fluorescent Antibody Technique; Cells, Cultured; Optic Nerve; Middle Aged; Infant; Humans; Retinal Ganglion Cells; Rats, Sprague-Dawley; Aged; Animals; Biological Markers; gamma-Synuclein; Transcription Factor Brn-3A; Subcellular Fractions; 	2
18806796	CTD	3420	HMOX1	human	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	NADP; NAD; Male; Lymphocytes; Retinitis Pigmentosa; RNA, Messenger; Case-Control Studies; Citric Acid Cycle; Reverse Transcriptase Polymerase Chain Reaction; Isocitrates; Isocitrate Dehydrogenase; Genes, Recessive; Humans; Female; 	3
18817846	RGD	59109	TLR2	human	glaucoma	http://purl.obolibrary.org/obo/DOID_1686					Jenni/Nathan	Animals; Blotting, Western; Disease Models, Animal; Glaucoma; Receptor, Nerve Growth Factor; Analysis of Variance; Intraocular Pressure; Male; Immunohistochemistry; Optic Nerve; Nerve Growth Factor; Microscopy, Electron; Saline Solution, Hypertonic; Rats; Rats, Sprague-Dawley; Receptor, trkA; Reverse Transcriptase Polymerase Chain Reaction; Retinal Ganglion Cells; 	1
18836446	CTD (human)	346007	SELP	human	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Protein Transport; Protein Structure, Tertiary; Mutation; Humans; Genes, Recessive; Gene Expression Regulation; Gene Expression Profiling; Eye Proteins; Drosophila melanogaster; Drosophila Proteins; Cell Line; Chromosomes, Human, Pair 6; Animals; Sequence Homology, Amino Acid; Retinitis Pigmentosa; 	3
18938194	RGD	310738	CACNA1C	human	glaucoma	http://purl.obolibrary.org/obo/DOID_1686					Jenni/Nathan	Immunohistochemistry; Male; Models, Animal; Geniculate Bodies; Receptors, Nerve Growth Factor; Glaucoma; Rats; Animals; Rats, Sprague-Dawley; Administration, Topical; Receptor, trkA; Blotting, Western; Nerve Growth Factor; Visual Cortex; 	1
19096531	RGD	10133	RELN	human	open-angle glaucoma	http://purl.obolibrary.org/obo/DOID_1067			neg		Jenni/Nathan	Gene Frequency; African Continental Ancestry Group; Ghana; Case-Control Studies; DNA Mutational Analysis; Glaucoma, Open-Angle; Humans; Middle Aged; Mutation; Open Reading Frames; Transcription Factor TFIIIA; 	0
19165920	CTD	8573	FADS2	human	microcephaly	http://purl.obolibrary.org/obo/DOID_10907					Jenni/Nathan	Syndrome; Mutation; Brain Stem; Genetic Diseases, X-Linked; Female; Child, Preschool; Ear; Cerebellum; Microcephaly; Mental Retardation, X-Linked; Humans; Male; Guanylate Kinase; 	3
19268277	CTD (human)	55812	HLA-B	human	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Pedigree; Middle Aged; Mice; Retina; Animals; Child; Retinitis Pigmentosa; Codon, Nonsense; Retinal Diseases; DNA-Binding Proteins; Homozygote; Humans; 	3
19575923	RGD	81686	IL9	human	ocular hypertension	http://purl.obolibrary.org/obo/DOID_9282					Jenni/Nathan	Rats, Wistar; Rats; Animals; Ocular Hypertension; Tissue Inhibitor of Metalloproteinase-1; Sclera; Matrix Metalloproteinase 2; Male; Tissue Inhibitor of Metalloproteinase-2; Disease Models, Animal; Matrix Metalloproteinase 9; 	1
19575923	RGD	81687	PLAUR	human	ocular hypertension	http://purl.obolibrary.org/obo/DOID_9282					Jenni/Nathan	Rats, Wistar; Rats; Ocular Hypertension; Tissue Inhibitor of Metalloproteinase-1; Sclera; Matrix Metalloproteinase 2; Male; Disease Models, Animal; Matrix Metalloproteinase 9; Animals; Tissue Inhibitor of Metalloproteinase-2; 	1
19578037		2290	CETP	human	microcephaly	http://purl.obolibrary.org/obo/DOID_10907					Jenni/Nathan	Rett Syndrome; Nerve Tissue Proteins; Child, Preschool; Female; Humans; Forkhead Transcription Factors; Methyl-CpG-Binding Protein 2; Mutation; 	3
19646678		7443	PSORS1C1	human	microcephaly	http://purl.obolibrary.org/obo/DOID_10907					Jenni/Nathan	Alleles; Jews; Brain Diseases; Chromosomes, Human, Pair 14; Codon, Nonsense; Cloning, Molecular; Penetrance; Physical Chromosome Mapping; Mutation; Pedigree; Muscular Atrophy, Spinal; Lod Score; Male; Israel; Polymorphism, Single Nucleotide; Protein-Serine-Threonine Kinases; Consanguinity; Female; Genetic Linkage; Genetic Markers; Homozygote; Humans; Intracellular Signaling Peptides and Proteins; 	2
19842203		9839	IL17F	human	microcephaly	http://purl.obolibrary.org/obo/DOID_10907					Jenni/Nathan	North America; Middle Aged; Mutation; Humans; Cohort Studies; Homeodomain Proteins; Adult; Child; Adolescent; Young Adult; Abnormalities, Multiple; Repressor Proteins; Pathology, Molecular; Syndrome; 	4
20002130		348	IL23R	human	microcephaly	http://purl.obolibrary.org/obo/DOID_10907					Jenni/Nathan	Child, Preschool; Comorbidity; Child; Genotype; Cross-Sectional Studies; Female; Apolipoprotein E3; Apolipoprotein E2; Cerebral Palsy; Apolipoprotein E4; Male; Prevalence; Incidence; Infant; Adolescent; Humans; Alleles; Adult; Severity of Illness Index; Young Adult; 	2
